Epoch,Batch,Num trials,Number correct
0,0,512,29
0,1,512,37
0,2,512,32
0,3,512,26
0,4,512,30
0,5,512,36
0,6,512,40
0,7,512,54
0,8,512,55
0,9,512,90
0,10,512,74
0,11,512,97
0,12,512,53
0,13,512,52
0,14,512,71
0,15,476,69
1,0,512,92
1,1,512,78
1,2,512,96
1,3,512,103
1,4,512,97
1,5,512,98
1,6,512,110
1,7,512,80
1,8,512,93
1,9,512,89
1,10,512,76
1,11,512,77
1,12,512,75
1,13,512,73
1,14,512,74
1,15,476,69
2,0,512,78
2,1,512,105
2,2,512,83
2,3,512,87
2,4,512,85
2,5,512,143
2,6,512,100
2,7,512,88
2,8,512,98
2,9,512,102
2,10,512,148
2,11,512,132
2,12,512,166
2,13,512,134
2,14,512,137
2,15,476,99
3,0,512,140
3,1,512,117
3,2,512,105
3,3,512,108
3,4,512,144
3,5,512,136
3,6,512,139
3,7,512,123
3,8,512,135
3,9,512,167
3,10,512,151
3,11,512,108
3,12,512,136
3,13,512,107
3,14,512,99
3,15,476,94
4,0,512,133
4,1,512,163
4,2,512,147
4,3,512,133
4,4,512,160
4,5,512,196
4,6,512,180
4,7,512,111
4,8,512,128
4,9,512,145
4,10,512,175
4,11,512,143
4,12,512,183
4,13,512,170
4,14,512,164
4,15,476,159
5,0,512,157
5,1,512,163
5,2,512,127
5,3,512,151
5,4,512,137
5,5,512,148
5,6,512,199
5,7,512,209
5,8,512,164
5,9,512,166
5,10,512,150
5,11,512,168
5,12,512,181
5,13,512,153
5,14,512,141
5,15,476,134
6,0,512,174
6,1,512,168
6,2,512,200
6,3,512,180
6,4,512,198
6,5,512,202
6,6,512,211
6,7,512,202
6,8,512,208
6,9,512,225
6,10,512,213
6,11,512,188
6,12,512,226
6,13,512,247
6,14,512,280
6,15,476,218
7,0,512,295
7,1,512,274
7,2,512,221
7,3,512,232
7,4,512,235
7,5,512,167
7,6,512,193
7,7,512,243
7,8,512,239
7,9,512,223
7,10,512,219
7,11,512,233
7,12,512,283
7,13,512,252
7,14,512,271
7,15,476,258
8,0,512,259
8,1,512,203
8,2,512,212
8,3,512,210
8,4,512,281
8,5,512,264
8,6,512,254
8,7,512,248
8,8,512,231
8,9,512,169
8,10,512,214
8,11,512,230
8,12,512,225
8,13,512,181
8,14,512,139
8,15,476,211
9,0,512,210
9,1,512,252
9,2,512,272
9,3,512,264
9,4,512,275
9,5,512,266
9,6,512,263
9,7,512,247
9,8,512,237
9,9,512,245
9,10,512,234
9,11,512,282
9,12,512,287
9,13,512,279
9,14,512,298
9,15,476,248
10,0,512,282
10,1,512,284
10,2,512,299
10,3,512,313
10,4,512,315
10,5,512,291
10,6,512,269
10,7,512,267
10,8,512,287
10,9,512,300
10,10,512,329
10,11,512,325
10,12,512,323
10,13,512,320
10,14,512,285
10,15,476,310
11,0,512,335
11,1,512,311
11,2,512,327
11,3,512,297
11,4,512,288
11,5,512,291
11,6,512,323
11,7,512,332
11,8,512,328
11,9,512,346
11,10,512,323
11,11,512,351
11,12,512,320
11,13,512,277
11,14,512,252
11,15,476,243
12,0,512,305
12,1,512,266
12,2,512,284
12,3,512,352
12,4,512,332
12,5,512,342
12,6,512,340
12,7,512,305
12,8,512,278
12,9,512,312
12,10,512,306
12,11,512,315
12,12,512,323
12,13,512,326
12,14,512,352
