Epoch,Batch,Num trials,Number correct
0,0,512,26
0,1,512,47
0,2,512,49
0,3,512,56
0,4,512,43
0,5,512,76
0,6,512,64
0,7,512,71
0,8,512,72
0,9,512,91
0,10,512,75
0,11,512,104
0,12,512,123
0,13,512,107
0,14,512,137
0,15,476,136
1,0,512,114
1,1,512,117
1,2,512,127
1,3,512,128
1,4,512,126
1,5,512,154
1,6,512,178
1,7,512,144
1,8,512,160
1,9,512,215
1,10,512,194
1,11,512,127
1,12,512,135
1,13,512,142
1,14,512,151
1,15,476,179
2,0,512,185
2,1,512,196
2,2,512,189
2,3,512,224
2,4,512,210
2,5,512,193
2,6,512,200
2,7,512,185
2,8,512,207
2,9,512,205
2,10,512,210
2,11,512,197
2,12,512,194
2,13,512,216
2,14,512,236
2,15,476,223
3,0,512,223
3,1,512,217
3,2,512,231
3,3,512,198
3,4,512,230
3,5,512,221
3,6,512,216
3,7,512,240
3,8,512,235
3,9,512,243
3,10,512,263
3,11,512,235
3,12,512,232
3,13,512,240
3,14,512,235
3,15,476,232
4,0,512,249
4,1,512,247
4,2,512,226
4,3,512,262
4,4,512,248
4,5,512,280
4,6,512,275
4,7,512,248
4,8,512,260
4,9,512,261
4,10,512,276
4,11,512,278
4,12,512,231
4,13,512,243
4,14,512,263
4,15,476,244
5,0,512,257
5,1,512,240
5,2,512,265
5,3,512,292
5,4,512,296
5,5,512,270
5,6,512,284
5,7,512,261
5,8,512,290
5,9,512,260
5,10,512,286
5,11,512,253
5,12,512,275
5,13,512,273
5,14,512,308
5,15,476,275
6,0,512,294
6,1,512,288
6,2,512,282
6,3,512,300
6,4,512,275
6,5,512,282
6,6,512,269
6,7,512,261
6,8,512,276
6,9,512,321
6,10,512,262
6,11,512,317
6,12,512,280
6,13,512,265
6,14,512,296
6,15,476,278
7,0,512,312
7,1,512,337
7,2,512,321
7,3,512,326
7,4,512,308
7,5,512,282
7,6,512,291
7,7,512,276
7,8,512,278
7,9,512,314
7,10,512,284
7,11,512,292
7,12,512,315
7,13,512,309
7,14,512,297
7,15,476,285
8,0,512,273
8,1,512,284
8,2,512,290
8,3,512,340
8,4,512,316
8,5,512,336
8,6,512,330
8,7,512,344
8,8,512,333
8,9,512,302
8,10,512,281
8,11,512,305
8,12,512,298
8,13,512,293
8,14,512,302
8,15,476,322
9,0,512,341
9,1,512,336
9,2,512,328
