Epoch,Batch,Num trials,Number correct
0,0,512,22
0,1,512,21
0,2,512,44
0,3,512,27
0,4,512,68
0,5,512,36
0,6,512,45
0,7,512,46
0,8,512,73
0,9,512,70
0,10,512,41
0,11,512,66
0,12,512,84
0,13,512,89
0,14,512,93
0,15,476,67
1,0,512,73
1,1,512,93
1,2,512,116
1,3,512,119
1,4,512,143
1,5,512,132
1,6,512,140
1,7,512,139
1,8,512,165
1,9,512,143
1,10,512,169
1,11,512,193
1,12,512,175
1,13,512,210
1,14,512,196
1,15,476,189
2,0,512,230
2,1,512,215
2,2,512,227
2,3,512,221
2,4,512,236
2,5,512,228
2,6,512,235
2,7,512,263
2,8,512,273
2,9,512,234
2,10,512,223
2,11,512,228
2,12,512,269
2,13,512,239
2,14,512,245
2,15,476,239
3,0,512,277
3,1,512,276
3,2,512,237
3,3,512,225
3,4,512,238
3,5,512,268
3,6,512,302
3,7,512,217
3,8,512,255
3,9,512,278
3,10,512,273
3,11,512,255
3,12,512,281
3,13,512,313
3,14,512,256
3,15,476,216
4,0,512,237
4,1,512,232
4,2,512,292
4,3,512,288
4,4,512,302
4,5,512,309
4,6,512,329
4,7,512,303
4,8,512,259
4,9,512,290
4,10,512,344
4,11,512,326
4,12,512,315
4,13,512,295
4,14,512,344
4,15,476,308
5,0,512,308
5,1,512,287
5,2,512,338
5,3,512,310
5,4,512,341
5,5,512,374
5,6,512,358
5,7,512,334
5,8,512,358
5,9,512,352
5,10,512,345
5,11,512,370
5,12,512,339
5,13,512,325
5,14,512,339
5,15,476,332
6,0,512,377
6,1,512,368
6,2,512,356
6,3,512,353
6,4,512,310
6,5,512,333
6,6,512,363
6,7,512,345
6,8,512,373
6,9,512,355
6,10,512,363
6,11,512,387
6,12,512,368
6,13,512,369
6,14,512,371
6,15,476,342
7,0,512,358
7,1,512,377
7,2,512,358
7,3,512,363
7,4,512,383
7,5,512,381
7,6,512,390
7,7,512,403
7,8,512,361
7,9,512,364
7,10,512,405
7,11,512,408
7,12,512,407
7,13,512,387
7,14,512,357
7,15,476,373
8,0,512,382
8,1,512,396
8,2,512,414
8,3,512,393
8,4,512,358
8,5,512,358
8,6,512,400
8,7,512,359
8,8,512,380
8,9,512,388
8,10,512,383
8,11,512,368
8,12,512,363
8,13,512,392
8,14,512,415
8,15,476,349
9,0,512,401
9,1,512,417
9,2,512,407
9,3,512,390
9,4,512,381
9,5,512,398
9,6,512,400
9,7,512,413
9,8,512,390
9,9,512,393
9,10,512,421
9,11,512,410
9,12,512,400
9,13,512,418
9,14,512,404
9,15,476,364
10,0,512,384
10,1,512,419
10,2,512,405
10,3,512,417
10,4,512,385
10,5,512,389
10,6,512,410
10,7,512,392
10,8,512,413
10,9,512,417
10,10,512,405
10,11,512,404
10,12,512,398
10,13,512,411
10,14,512,393
10,15,476,364
11,0,512,389
11,1,512,399
11,2,512,436
11,3,512,422
11,4,512,392
11,5,512,395
11,6,512,395
11,7,512,410
11,8,512,388
11,9,512,395
11,10,512,427
11,11,512,393
11,12,512,411
11,13,512,393
11,14,512,400
11,15,476,369
12,0,512,397
12,1,512,406
12,2,512,398
12,3,512,397
12,4,512,407
12,5,512,400
12,6,512,397
12,7,512,404
12,8,512,409
12,9,512,423
12,10,512,412
12,11,512,382
12,12,512,424
12,13,512,414
12,14,512,414
12,15,476,383
13,0,512,427
13,1,512,408
13,2,512,411
13,3,512,404
13,4,512,408
13,5,512,421
13,6,512,439
13,7,512,433
13,8,512,393
13,9,512,390
13,10,512,413
13,11,512,392
13,12,512,409
13,13,512,413
13,14,512,413
13,15,476,383
14,0,512,407
14,1,512,405
14,2,512,424
14,3,512,426
14,4,512,419
14,5,512,421
14,6,512,429
14,7,512,383
14,8,512,392
14,9,512,419
14,10,512,412
14,11,512,418
14,12,512,429
14,13,512,412
14,14,512,413
14,15,476,383
15,0,512,437
15,1,512,433
15,2,512,423
15,3,512,424
15,4,512,424
15,5,512,435
15,6,512,446
15,7,512,415
15,8,512,408
15,9,512,412
15,10,512,424
15,11,512,418
15,12,512,402
15,13,512,418
15,14,512,429
15,15,476,367
16,0,512,424
16,1,512,405
16,2,512,438
16,3,512,422
16,4,512,424
16,5,512,416
16,6,512,390
16,7,512,399
16,8,512,427
16,9,512,436
16,10,512,427
16,11,512,418
16,12,512,431
16,13,512,425
16,14,512,433
16,15,476,419
17,0,512,421
17,1,512,428
17,2,512,435
17,3,512,439
17,4,512,436
17,5,512,440
17,6,512,442
17,7,512,422
17,8,512,443
17,9,512,448
17,10,512,452
17,11,512,432
17,12,512,424
17,13,512,441
17,14,512,439
17,15,476,401
18,0,512,438
18,1,512,443
18,2,512,449
18,3,512,454
18,4,512,438
18,5,512,430
18,6,512,425
18,7,512,448
18,8,512,434
18,9,512,418
18,10,512,436
18,11,512,434
18,12,512,448
18,13,512,428
18,14,512,430
18,15,476,408
19,0,512,445
19,1,512,419
19,2,512,407
19,3,512,426
19,4,512,446
19,5,512,440
19,6,512,446
19,7,512,437
19,8,512,441
19,9,512,440
19,10,512,452
19,11,512,434
19,12,512,430
19,13,512,452
19,14,512,447
19,15,476,416
20,0,512,446
20,1,512,451
20,2,512,458
20,3,512,439
20,4,512,439
20,5,512,437
20,6,512,454
20,7,512,445
20,8,512,427
20,9,512,436
20,10,512,440
20,11,512,444
20,12,512,438
20,13,512,441
20,14,512,444
20,15,476,428
21,0,512,459
21,1,512,443
21,2,512,427
21,3,512,449
21,4,512,437
21,5,512,455
21,6,512,454
21,7,512,438
21,8,512,458
21,9,512,445
21,10,512,446
21,11,512,451
21,12,512,451
21,13,512,457
21,14,512,455
21,15,476,404
22,0,512,419
22,1,512,453
22,2,512,475
22,3,512,450
22,4,512,454
22,5,512,461
22,6,512,446
22,7,512,441
22,8,512,446
22,9,512,459
22,10,512,459
22,11,512,468
22,12,512,446
22,13,512,460
22,14,512,447
22,15,476,423
23,0,512,464
23,1,512,460
23,2,512,445
23,3,512,456
23,4,512,458
23,5,512,458
23,6,512,466
23,7,512,459
23,8,512,445
23,9,512,455
23,10,512,440
23,11,512,455
23,12,512,456
23,13,512,465
23,14,512,469
23,15,476,422
24,0,512,454
24,1,512,469
24,2,512,444
24,3,512,463
24,4,512,461
24,5,512,447
24,6,512,462
24,7,512,454
24,8,512,448
24,9,512,452
24,10,512,436
24,11,512,454
24,12,512,456
24,13,512,470
24,14,512,461
24,15,476,428
25,0,512,462
25,1,512,468
25,2,512,470
25,3,512,469
25,4,512,478
25,5,512,452
25,6,512,457
25,7,512,457
25,8,512,465
25,9,512,455
25,10,512,458
25,11,512,468
25,12,512,469
25,13,512,463
25,14,512,455
25,15,476,422
26,0,512,470
26,1,512,461
26,2,512,462
26,3,512,460
26,4,512,463
26,5,512,452
26,6,512,468
26,7,512,457
26,8,512,473
26,9,512,478
26,10,512,463
26,11,512,467
26,12,512,465
26,13,512,441
26,14,512,460
26,15,476,392
27,0,512,457
27,1,512,454
27,2,512,460
27,3,512,469
27,4,512,442
27,5,512,468
27,6,512,473
27,7,512,459
27,8,512,478
27,9,512,472
27,10,512,477
27,11,512,470
27,12,512,474
27,13,512,466
27,14,512,470
27,15,476,416
28,0,512,469
28,1,512,473
28,2,512,475
28,3,512,461
28,4,512,463
28,5,512,475
28,6,512,477
28,7,512,481
28,8,512,473
28,9,512,479
28,10,512,474
28,11,512,473
28,12,512,474
28,13,512,468
28,14,512,477
28,15,476,437
29,0,512,462
29,1,512,474
29,2,512,469
29,3,512,482
29,4,512,463
29,5,512,478
29,6,512,468
29,7,512,479
29,8,512,482
29,9,512,473
29,10,512,477
29,11,512,483
29,12,512,485
29,13,512,474
29,14,512,466
29,15,476,422
30,0,512,473
30,1,512,474
30,2,512,477
30,3,512,477
30,4,512,462
30,5,512,478
30,6,512,470
30,7,512,475
30,8,512,483
30,9,512,474
30,10,512,475
30,11,512,476
30,12,512,479
30,13,512,475
30,14,512,476
30,15,476,448
31,0,512,482
31,1,512,478
31,2,512,489
31,3,512,469
31,4,512,471
31,5,512,484
31,6,512,480
31,7,512,481
31,8,512,486
31,9,512,463
31,10,512,479
31,11,512,478
31,12,512,476
31,13,512,484
31,14,512,474
31,15,476,451
32,0,512,475
32,1,512,476
32,2,512,481
32,3,512,476
32,4,512,483
32,5,512,464
32,6,512,465
32,7,512,485
