Epoch,Batch,Num trials,Number correct
0,0,512,22
0,1,512,43
0,2,512,22
0,3,512,48
0,4,512,58
0,5,512,83
0,6,512,78
0,7,512,63
0,8,512,60
0,9,512,84
0,10,512,107
0,11,512,136
0,12,512,113
0,13,512,129
0,14,512,131
0,15,476,126
1,0,512,161
1,1,512,136
1,2,512,148
1,3,512,150
1,4,512,131
1,5,512,122
1,6,512,168
1,7,512,188
1,8,512,188
1,9,512,227
1,10,512,187
1,11,512,190
1,12,512,202
1,13,512,198
1,14,512,204
1,15,476,209
2,0,512,250
2,1,512,235
2,2,512,229
2,3,512,226
2,4,512,252
2,5,512,263
2,6,512,223
2,7,512,236
2,8,512,236
2,9,512,248
2,10,512,277
2,11,512,257
2,12,512,256
2,13,512,249
2,14,512,273
2,15,476,236
3,0,512,270
3,1,512,263
3,2,512,258
3,3,512,247
3,4,512,258
3,5,512,263
3,6,512,295
3,7,512,281
3,8,512,274
3,9,512,280
3,10,512,277
3,11,512,256
3,12,512,302
3,13,512,308
3,14,512,305
3,15,476,250
4,0,512,295
4,1,512,317
4,2,512,311
4,3,512,301
4,4,512,286
4,5,512,283
4,6,512,283
4,7,512,309
4,8,512,320
4,9,512,305
4,10,512,320
4,11,512,306
4,12,512,320
4,13,512,296
4,14,512,287
4,15,476,246
5,0,512,279
5,1,512,292
5,2,512,339
5,3,512,329
5,4,512,313
5,5,512,311
5,6,512,310
5,7,512,318
5,8,512,319
5,9,512,356
5,10,512,319
5,11,512,290
5,12,512,300
5,13,512,316
5,14,512,330
5,15,476,299
6,0,512,327
6,1,512,352
6,2,512,336
6,3,512,345
6,4,512,341
6,5,512,306
6,6,512,324
6,7,512,333
6,8,512,302
6,9,512,304
6,10,512,330
6,11,512,358
6,12,512,348
6,13,512,344
6,14,512,362
6,15,476,314
7,0,512,345
7,1,512,341
7,2,512,344
7,3,512,322
7,4,512,329
7,5,512,347
7,6,512,317
7,7,512,361
7,8,512,369
7,9,512,369
7,10,512,373
7,11,512,332
7,12,512,375
7,13,512,383
7,14,512,338
7,15,476,309
8,0,512,361
8,1,512,373
8,2,512,369
8,3,512,363
8,4,512,367
8,5,512,359
8,6,512,362
8,7,512,382
8,8,512,360
8,9,512,324
8,10,512,350
8,11,512,358
8,12,512,347
8,13,512,331
8,14,512,369
8,15,476,337
9,0,512,391
9,1,512,383
9,2,512,354
9,3,512,342
9,4,512,360
9,5,512,338
9,6,512,358
9,7,512,363
9,8,512,368
9,9,512,388
9,10,512,383
9,11,512,395
9,12,512,379
9,13,512,399
9,14,512,391
9,15,476,348
10,0,512,374
10,1,512,396
10,2,512,372
10,3,512,418
10,4,512,418
10,5,512,406
10,6,512,418
10,7,512,407
10,8,512,393
10,9,512,397
10,10,512,404
10,11,512,393
10,12,512,386
10,13,512,380
10,14,512,380
10,15,476,375
11,0,512,414
11,1,512,409
11,2,512,374
11,3,512,403
11,4,512,404
11,5,512,411
11,6,512,395
11,7,512,398
11,8,512,415
11,9,512,412
11,10,512,418
11,11,512,407
11,12,512,392
11,13,512,411
11,14,512,411
11,15,476,376
12,0,512,414
12,1,512,405
12,2,512,409
12,3,512,425
12,4,512,413
12,5,512,427
12,6,512,423
12,7,512,402
12,8,512,367
12,9,512,422
12,10,512,425
12,11,512,414
12,12,512,406
12,13,512,423
12,14,512,421
12,15,476,377
13,0,512,403
13,1,512,405
13,2,512,396
13,3,512,428
