Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,24,77,11,50
0,1,512,31,86,20,41
0,2,512,23,96,28,44
0,3,512,23,96,25,44
0,4,512,31,80,24,41
0,5,512,21,76,21,37
0,6,512,20,79,24,43
0,7,512,34,77,30,39
0,8,512,27,71,32,31
0,9,512,44,66,33,33
0,10,512,31,55,35,26
0,11,512,34,56,37,34
0,12,512,50,64,37,32
0,13,512,42,80,28,27
0,14,512,64,79,30,24
0,15,476,47,68,31,27
1,0,512,37,67,33,26
1,1,512,34,63,31,24
1,2,512,31,55,35,20
1,3,512,31,53,33,22
1,4,512,46,44,35,24
1,5,512,53,48,34,28
1,6,512,55,57,28,27
1,7,512,57,60,34,20
1,8,512,62,74,31,18
1,9,512,82,61,29,18
1,10,512,75,51,29,22
1,11,512,90,57,27,29
1,12,512,82,56,31,25
1,13,512,85,49,31,22
1,14,512,69,69,31,23
1,15,476,65,57,36,27
2,0,512,61,56,36,26
2,1,512,64,63,29,25
2,2,512,64,59,30,20
2,3,512,63,52,27,23
2,4,512,78,64,36,26
2,5,512,73,57,37,32
2,6,512,77,54,28,30
2,7,512,72,54,28,32
2,8,512,62,42,22,28
2,9,512,82,60,38,28
2,10,512,76,65,32,29
2,11,512,85,60,25,40
2,12,512,95,66,32,38
2,13,512,104,61,29,31
2,14,512,102,63,32,29
2,15,476,69,71,30,37
3,0,512,77,55,25,34
3,1,512,96,62,28,27
3,2,512,87,60,28,25
3,3,512,93,51,31,26
3,4,512,86,48,26,29
3,5,512,78,58,23,23
3,6,512,81,56,22,34
3,7,512,95,60,20,33
3,8,512,121,52,25,36
3,9,512,92,57,26,30
3,10,512,93,66,31,27
3,11,512,95,56,30,35
3,12,512,98,63,24,35
3,13,512,97,52,24,29
3,14,512,98,57,28,21
3,15,476,88,65,28,21
4,0,512,100,56,21,31
4,1,512,109,63,27,37
4,2,512,97,62,21,37
4,3,512,116,57,19,35
4,4,512,116,48,23,41
4,5,512,102,64,16,47
4,6,512,125,59,20,39
4,7,512,119,55,18,37
4,8,512,124,59,13,40
4,9,512,117,47,19,37
4,10,512,107,53,17,34
4,11,512,108,49,14,42
4,12,512,102,49,16,47
4,13,512,114,65,19,43
4,14,512,126,50,18,32
4,15,476,101,43,16,38
5,0,512,117,51,16,36
5,1,512,129,54,13,29
5,2,512,123,63,13,33
5,3,512,137,54,14,40
5,4,512,151,53,15,29
5,5,512,132,55,13,32
5,6,512,145,63,10,32
5,7,512,124,57,13,28
5,8,512,133,57,12,34
5,9,512,104,52,14,37
5,10,512,103,48,13,31
5,11,512,117,46,18,37
5,12,512,124,46,14,46
5,13,512,124,50,16,45
5,14,512,138,50,16,43
5,15,476,156,43,16,47
6,0,512,150,52,14,38
6,1,512,138,51,12,34
6,2,512,143,48,16,30
6,3,512,139,36,22,32
6,4,512,154,38,22,24
6,5,512,148,43,20,30
6,6,512,145,42,17,34
6,7,512,158,43,22,32
6,8,512,150,45,20,39
6,9,512,143,51,21,41
6,10,512,160,46,14,38
6,11,512,180,52,15,34
6,12,512,161,60,18,29
6,13,512,166,54,21,38
6,14,512,135,53,17,38
6,15,476,119,53,15,40
7,0,512,137,59,11,40
7,1,512,152,36,14,29
7,2,512,162,36,16,31
7,3,512,183,36,19,34
7,4,512,170,43,17,38
7,5,512,157,53,13,43
7,6,512,177,43,12,44
7,7,512,178,37,14,33
7,8,512,145,52,15,37
7,9,512,176,41,7,37
7,10,512,169,30,8,34
7,11,512,166,49,9,36
7,12,512,175,56,14,50
7,13,512,176,49,12,43
7,14,512,171,36,10,34
7,15,476,165,43,8,37
8,0,512,168,48,10,32
8,1,512,164,44,9,37
8,2,512,168,44,8,44
8,3,512,167,51,11,34
8,4,512,178,43,16,39
8,5,512,191,43,13,37
8,6,512,185,34,15,34
8,7,512,201,42,15,37
8,8,512,167,39,9,28
8,9,512,177,35,9,29
8,10,512,185,36,5,34
8,11,512,179,46,9,41
8,12,512,185,44,8,37
8,13,512,172,46,7,33
8,14,512,169,50,4,32
8,15,476,169,42,9,32
9,0,512,180,44,11,30
9,1,512,201,40,12,30
9,2,512,190,45,12,37
9,3,512,188,44,8,29
9,4,512,189,36,11,28
9,5,512,199,41,12,31
9,6,512,197,38,13,28
9,7,512,199,43,12,28
9,8,512,204,41,14,39
9,9,512,196,42,9,45
9,10,512,213,47,11,36
9,11,512,206,36,14,33
9,12,512,191,48,13,35
9,13,512,187,58,8,40
9,14,512,203,50,11,45
9,15,476,199,41,13,40
10,0,512,216,51,15,28
10,1,512,201,43,14,28
10,2,512,200,38,11,30
10,3,512,189,35,10,27
10,4,512,182,37,12,24
10,5,512,190,43,8,29
10,6,512,221,49,8,27
10,7,512,212,40,10,32
10,8,512,205,38,10,35
10,9,512,215,36,10,37
10,10,512,224,35,3,36
10,11,512,218,51,5,27
10,12,512,227,44,9,27
10,13,512,211,48,6,29
10,14,512,204,42,6,21
10,15,476,199,35,8,28
11,0,512,209,27,6,38
11,1,512,221,31,9,37
11,2,512,220,37,8,28
11,3,512,213,47,6,31
11,4,512,203,37,5,28
11,5,512,210,43,10,25
11,6,512,215,47,12,25
11,7,512,236,45,11,24
11,8,512,217,48,6,28
11,9,512,209,54,6,27
11,10,512,211,46,7,28
11,11,512,206,39,8,27
11,12,512,197,50,9,26
11,13,512,221,50,9,28
11,14,512,213,42,7,29
11,15,476,190,50,2,28
12,0,512,216,57,8,27
12,1,512,222,45,9,34
12,2,512,219,35,6,28
12,3,512,232,35,6,23
12,4,512,233,34,5,24
12,5,512,205,37,3,29
12,6,512,231,34,7,34
12,7,512,214,34,6,29
12,8,512,228,42,7,30
12,9,512,229,30,7,32
12,10,512,240,34,6,23
12,11,512,242,39,6,19
12,12,512,248,36,4,21
12,13,512,242,31,7,27
12,14,512,232,42,7,27
12,15,476,195,36,7,25
13,0,512,235,39,8,23
13,1,512,240,39,7,26
13,2,512,248,35,6,21
13,3,512,241,39,8,28
13,4,512,242,35,15,34
13,5,512,229,24,8,42
13,6,512,240,26,6,40
13,7,512,213,26,7,36
13,8,512,255,36,7,40
13,9,512,229,38,6,29
13,10,512,239,33,4,27
13,11,512,247,33,7,31
13,12,512,237,36,6,25
13,13,512,240,27,7,31
13,14,512,237,31,11,29
13,15,476,221,31,7,14
14,0,512,220,23,8,15
14,1,512,243,27,4,17
14,2,512,262,26,6,23
14,3,512,239,29,11,23
14,4,512,221,32,7,20
14,5,512,227,26,7,23
14,6,512,226,32,5,19
14,7,512,257,31,8,26
14,8,512,266,30,7,28
14,9,512,258,27,8,22
14,10,512,228,30,6,26
14,11,512,225,30,4,27
14,12,512,240,27,5,19
14,13,512,255,31,9,21
14,14,512,267,31,13,19
14,15,476,227,32,11,22
15,0,512,222,32,8,22
15,1,512,237,37,4,22
15,2,512,256,37,7,19
15,3,512,244,33,8,20
15,4,512,284,43,8,18
15,5,512,247,37,8,28
15,6,512,247,28,7,30
15,7,512,235,23,8,34
15,8,512,237,29,6,31
15,9,512,250,31,3,25
15,10,512,249,35,1,25
15,11,512,235,37,3,25
15,12,512,243,38,4,26
15,13,512,234,28,2,23
15,14,512,253,33,0,28
15,15,476,247,32,3,30
16,0,512,277,34,3,25
16,1,512,262,38,4,21
16,2,512,258,42,3,28
16,3,512,242,29,5,29
16,4,512,250,27,5,22
16,5,512,260,36,7,27
16,6,512,256,31,7,19
16,7,512,258,27,6,22
16,8,512,243,27,5,23
16,9,512,246,33,4,33
16,10,512,273,37,5,35
16,11,512,261,39,7,32
16,12,512,256,33,4,28
16,13,512,263,34,1,38
16,14,512,265,34,3,37
16,15,476,266,31,4,42
17,0,512,261,35,3,37
17,1,512,252,29,3,32
17,2,512,257,28,8,32
17,3,512,278,36,6,19
17,4,512,268,26,5,24
17,5,512,262,30,4,27
17,6,512,269,33,1,20
17,7,512,253,30,2,22
17,8,512,265,31,4,28
17,9,512,274,21,6,33
17,10,512,262,27,10,30
17,11,512,284,32,6,35
17,12,512,278,30,7,26
17,13,512,279,30,6,36
17,14,512,279,26,5,29
17,15,476,260,27,6,38
18,0,512,261,41,10,41
18,1,512,259,32,13,39
18,2,512,249,34,8,37
18,3,512,262,28,5,35
18,4,512,286,34,7,38
18,5,512,297,29,5,40
18,6,512,269,29,8,30
18,7,512,247,29,2,34
18,8,512,255,28,2,25
18,9,512,268,26,5,35
18,10,512,304,26,6,32
18,11,512,299,32,12,29
18,12,512,281,36,5,31
18,13,512,297,24,2,26
18,14,512,299,26,2,25
18,15,476,267,28,7,31
19,0,512,281,30,7,27
19,1,512,287,27,4,23
19,2,512,295,29,5,25
19,3,512,295,31,10,24
19,4,512,259,33,8,22
19,5,512,260,32,6,29
19,6,512,293,27,5,26
19,7,512,280,27,7,22
19,8,512,297,35,8,21
19,9,512,301,39,7,20
19,10,512,261,35,5,21
19,11,512,280,37,6,23
19,12,512,296,33,4,27
19,13,512,328,28,5,32
19,14,512,278,26,4,29
19,15,476,272,20,8,27
20,0,512,286,30,6,26
20,1,512,279,37,3,21
20,2,512,270,33,7,25
20,3,512,327,25,6,24
20,4,512,305,23,11,17
20,5,512,290,27,13,16
20,6,512,269,27,10,24
20,7,512,271,27,9,23
20,8,512,284,14,9,24
20,9,512,281,24,7,19
20,10,512,276,28,5,20
20,11,512,261,31,6,20
20,12,512,270,32,4,21
20,13,512,274,35,1,21
20,14,512,280,30,4,21
20,15,476,299,33,5,22
21,0,512,291,41,7,21
21,1,512,300,47,4,23
21,2,512,285,50,3,29
21,3,512,313,39,7,30
21,4,512,279,32,6,28
21,5,512,284,25,4,24
21,6,512,246,24,7,26
21,7,512,278,22,5,28
21,8,512,274,20,6,30
21,9,512,300,21,4,33
21,10,512,295,24,5,34
21,11,512,295,27,2,33
21,12,512,302,27,2,35
21,13,512,306,29,4,25
21,14,512,299,26,3,21
21,15,476,280,29,4,30
22,0,512,280,19,4,33
22,1,512,285,22,5,23
22,2,512,295,26,6,23
22,3,512,271,27,8,25
22,4,512,323,28,8,32
22,5,512,310,21,4,24
22,6,512,313,23,4,26
22,7,512,330,20,5,33
22,8,512,304,23,4,24
22,9,512,270,22,1,31
22,10,512,270,18,5,31
22,11,512,311,19,6,30
22,12,512,283,30,3,25
22,13,512,302,27,5,27
22,14,512,291,28,6,24
22,15,476,281,31,3,35
23,0,512,314,23,2,34
23,1,512,313,16,3,28
23,2,512,320,20,2,22
23,3,512,324,21,2,24
23,4,512,312,22,2,21
23,5,512,292,23,4,17
23,6,512,290,14,3,23
23,7,512,290,13,2,23
23,8,512,293,17,2,26
23,9,512,298,23,3,21
23,10,512,298,20,5,22
23,11,512,308,22,6,21
23,12,512,299,19,8,21
23,13,512,306,26,6,23
23,14,512,320,30,4,25
23,15,476,282,30,6,24
24,0,512,297,16,5,29
24,1,512,278,21,5,28
24,2,512,309,28,4,25
24,3,512,317,30,4,28
24,4,512,311,26,5,30
24,5,512,309,16,4,30
24,6,512,312,18,4,29
24,7,512,301,21,2,28
24,8,512,297,23,1,25
24,9,512,284,17,1,20
24,10,512,302,24,1,17
24,11,512,311,22,2,18
24,12,512,282,17,4,22
24,13,512,306,22,5,17
24,14,512,311,28,3,20
24,15,476,303,27,3,19
25,0,512,337,29,2,19
25,1,512,309,30,5,28
25,2,512,306,29,3,29
25,3,512,294,28,4,25
25,4,512,289,32,6,22
25,5,512,291,22,5,24
25,6,512,302,24,7,20
25,7,512,316,26,3,23
25,8,512,303,24,2,23
25,9,512,293,25,1,20
25,10,512,291,34,3,24
25,11,512,282,29,3,21
25,12,512,316,21,1,23
25,13,512,313,25,2,22
25,14,512,280,18,2,22
25,15,476,275,22,4,23
26,0,512,306,24,6,20
26,1,512,318,24,6,20
26,2,512,311,22,6,21
26,3,512,320,18,2,22
26,4,512,335,20,6,20
26,5,512,294,22,4,21
26,6,512,300,25,3,17
26,7,512,304,23,2,19
26,8,512,310,25,4,25
26,9,512,327,20,6,23
26,10,512,298,21,5,23
26,11,512,291,28,5,23
26,12,512,321,25,5,15
26,13,512,302,22,5,16
26,14,512,331,21,3,22
26,15,476,288,21,2,15
27,0,512,318,19,2,19
27,1,512,292,24,2,22
27,2,512,281,23,2,19
27,3,512,315,24,2,19
27,4,512,346,28,2,19
27,5,512,281,26,8,21
27,6,512,327,23,4,28
27,7,512,297,24,6,17
27,8,512,304,29,6,18
27,9,512,317,30,6,23
27,10,512,332,21,4,27
27,11,512,353,23,4,32
27,12,512,343,24,5,33
27,13,512,299,22,5,36
27,14,512,301,15,7,30
27,15,476,313,15,5,27
28,0,512,318,24,5,22
28,1,512,328,19,5,16
28,2,512,294,22,5,24
28,3,512,329,23,7,24
28,4,512,329,18,7,19
28,5,512,326,19,5,16
28,6,512,311,22,5,16
28,7,512,339,22,4,21
28,8,512,349,24,5,25
28,9,512,334,25,6,16
28,10,512,310,22,3,24
28,11,512,316,25,3,26
28,12,512,316,24,4,25
28,13,512,332,19,4,22
28,14,512,342,21,4,19
28,15,476,316,13,5,20
29,0,512,314,16,5,14
29,1,512,311,20,7,16
29,2,512,322,16,4,22
29,3,512,332,23,4,25
29,4,512,338,23,2,20
29,5,512,356,25,3,18
29,6,512,352,20,3,18
29,7,512,343,23,3,10
29,8,512,328,24,3,17
29,9,512,310,14,1,13
29,10,512,322,19,3,14
29,11,512,302,18,2,18
29,12,512,331,18,2,18
29,13,512,368,27,4,14
