Epoch,Batch,Num trials,Number correct
0,0,512,21
0,1,512,31
0,2,512,31
0,3,512,29
0,4,512,23
0,5,512,26
0,6,512,25
0,7,512,28
0,8,512,37
0,9,512,33
0,10,512,27
0,11,512,39
0,12,512,51
0,13,512,64
0,14,512,63
0,15,476,62
1,0,512,69
1,1,512,62
1,2,512,64
1,3,512,65
1,4,512,82
1,5,512,72
1,6,512,81
1,7,512,93
1,8,512,71
1,9,512,76
1,10,512,88
1,11,512,80
1,12,512,75
1,13,512,78
1,14,512,94
1,15,476,91
2,0,512,108
2,1,512,110
2,2,512,102
2,3,512,82
2,4,512,93
2,5,512,94
2,6,512,76
2,7,512,91
2,8,512,99
2,9,512,105
2,10,512,97
2,11,512,109
2,12,512,101
2,13,512,105
2,14,512,109
2,15,476,108
3,0,512,143
3,1,512,170
3,2,512,147
3,3,512,153
3,4,512,160
3,5,512,166
3,6,512,147
3,7,512,149
3,8,512,142
3,9,512,169
3,10,512,164
3,11,512,154
3,12,512,188
3,13,512,146
3,14,512,162
3,15,476,172
4,0,512,169
4,1,512,164
4,2,512,165
4,3,512,173
4,4,512,182
4,5,512,171
4,6,512,180
4,7,512,197
4,8,512,199
4,9,512,186
4,10,512,195
4,11,512,184
4,12,512,199
4,13,512,190
4,14,512,189
4,15,476,188
5,0,512,191
5,1,512,206
5,2,512,206
5,3,512,217
5,4,512,200
5,5,512,220
5,6,512,208
5,7,512,195
5,8,512,193
5,9,512,211
5,10,512,212
5,11,512,210
5,12,512,214
5,13,512,204
5,14,512,195
5,15,476,196
6,0,512,240
6,1,512,212
6,2,512,242
6,3,512,240
6,4,512,229
6,5,512,236
6,6,512,221
6,7,512,216
6,8,512,220
6,9,512,213
6,10,512,222
6,11,512,253
6,12,512,243
6,13,512,209
6,14,512,230
6,15,476,234
7,0,512,253
7,1,512,245
7,2,512,251
7,3,512,264
7,4,512,268
7,5,512,264
7,6,512,239
7,7,512,234
7,8,512,260
7,9,512,257
7,10,512,262
7,11,512,266
7,12,512,263
7,13,512,251
7,14,512,251
7,15,476,237
8,0,512,254
8,1,512,247
8,2,512,299
8,3,512,273
8,4,512,281
8,5,512,259
8,6,512,264
8,7,512,268
8,8,512,269
8,9,512,280
8,10,512,277
8,11,512,292
8,12,512,295
8,13,512,261
8,14,512,284
8,15,476,243
9,0,512,298
9,1,512,289
9,2,512,275
9,3,512,274
9,4,512,281
9,5,512,271
9,6,512,275
9,7,512,273
9,8,512,273
9,9,512,283
9,10,512,277
9,11,512,290
9,12,512,313
9,13,512,297
9,14,512,289
9,15,476,254
10,0,512,328
10,1,512,289
10,2,512,276
10,3,512,270
10,4,512,285
10,5,512,288
10,6,512,278
10,7,512,279
10,8,512,301
10,9,512,311
10,10,512,311
10,11,512,311
10,12,512,318
10,13,512,317
10,14,512,318
10,15,476,285
11,0,512,338
11,1,512,301
11,2,512,331
11,3,512,305
11,4,512,308
11,5,512,298
11,6,512,302
11,7,512,339
11,8,512,307
11,9,512,308
11,10,512,306
11,11,512,292
11,12,512,308
11,13,512,296
11,14,512,291
11,15,476,298
12,0,512,300
12,1,512,335
12,2,512,309
12,3,512,313
12,4,512,336
12,5,512,310
12,6,512,330
12,7,512,319
12,8,512,330
12,9,512,330
12,10,512,323
12,11,512,300
12,12,512,301
12,13,512,333
12,14,512,314
12,15,476,302
13,0,512,351
13,1,512,341
13,2,512,366
13,3,512,322
13,4,512,332
13,5,512,311
13,6,512,330
13,7,512,321
13,8,512,308
13,9,512,333
13,10,512,344
13,11,512,350
13,12,512,335
13,13,512,342
13,14,512,331
13,15,476,306
14,0,512,334
14,1,512,332
14,2,512,332
14,3,512,319
14,4,512,345
14,5,512,349
14,6,512,364
14,7,512,364
14,8,512,355
14,9,512,344
14,10,512,349
14,11,512,310
14,12,512,355
14,13,512,346
14,14,512,361
14,15,476,325
15,0,512,344
15,1,512,348
15,2,512,321
15,3,512,351
15,4,512,358
15,5,512,330
15,6,512,345
15,7,512,333
15,8,512,356
15,9,512,358
15,10,512,356
15,11,512,356
15,12,512,340
15,13,512,344
15,14,512,333
15,15,476,333
16,0,512,335
16,1,512,348
16,2,512,369
16,3,512,361
16,4,512,361
16,5,512,379
16,6,512,359
16,7,512,364
16,8,512,358
16,9,512,356
16,10,512,366
16,11,512,380
16,12,512,373
16,13,512,351
16,14,512,372
16,15,476,343
17,0,512,372
17,1,512,374
17,2,512,379
17,3,512,380
17,4,512,394
17,5,512,377
17,6,512,384
17,7,512,381
17,8,512,360
17,9,512,371
17,10,512,384
17,11,512,378
17,12,512,380
17,13,512,373
17,14,512,356
17,15,476,360
18,0,512,382
18,1,512,374
18,2,512,378
18,3,512,374
18,4,512,355
18,5,512,343
18,6,512,349
18,7,512,360
18,8,512,382
18,9,512,383
18,10,512,373
18,11,512,381
18,12,512,382
18,13,512,383
18,14,512,391
18,15,476,347
19,0,512,388
19,1,512,378
19,2,512,367
19,3,512,382
19,4,512,396
19,5,512,401
19,6,512,382
19,7,512,410
19,8,512,375
19,9,512,386
19,10,512,381
19,11,512,367
19,12,512,397
19,13,512,385
19,14,512,399
19,15,476,370
20,0,512,405
20,1,512,404
20,2,512,403
20,3,512,409
20,4,512,384
20,5,512,374
20,6,512,383
20,7,512,380
20,8,512,387
20,9,512,387
20,10,512,376
20,11,512,373
20,12,512,366
20,13,512,360
20,14,512,379
20,15,476,375
21,0,512,376
21,1,512,385
21,2,512,389
21,3,512,399
21,4,512,387
21,5,512,414
21,6,512,391
21,7,512,396
21,8,512,398
21,9,512,402
21,10,512,399
21,11,512,396
21,12,512,377
21,13,512,397
21,14,512,379
21,15,476,362
22,0,512,395
22,1,512,409
22,2,512,381
22,3,512,401
22,4,512,381
22,5,512,391
22,6,512,392
22,7,512,399
22,8,512,401
22,9,512,405
22,10,512,398
22,11,512,406
22,12,512,425
22,13,512,401
22,14,512,386
22,15,476,363
23,0,512,407
23,1,512,413
23,2,512,388
23,3,512,407
23,4,512,391
23,5,512,401
23,6,512,386
23,7,512,401
23,8,512,396
23,9,512,405
23,10,512,410
23,11,512,399
23,12,512,411
23,13,512,400
23,14,512,400
23,15,476,363
24,0,512,391
24,1,512,400
24,2,512,392
24,3,512,378
24,4,512,404
24,5,512,393
24,6,512,391
24,7,512,388
24,8,512,387
24,9,512,419
24,10,512,389
24,11,512,380
24,12,512,420
24,13,512,397
24,14,512,399
24,15,476,374
25,0,512,414
25,1,512,405
25,2,512,403
25,3,512,409
25,4,512,395
25,5,512,400
25,6,512,420
25,7,512,408
25,8,512,397
25,9,512,413
25,10,512,388
25,11,512,401
25,12,512,414
25,13,512,409
25,14,512,406
25,15,476,382
26,0,512,404
26,1,512,418
26,2,512,413
26,3,512,405
26,4,512,377
26,5,512,412
26,6,512,418
26,7,512,426
26,8,512,418
26,9,512,397
26,10,512,417
26,11,512,400
26,12,512,387
26,13,512,408
26,14,512,415
26,15,476,368
27,0,512,399
27,1,512,404
27,2,512,415
27,3,512,412
27,4,512,423
27,5,512,407
27,6,512,398
27,7,512,429
27,8,512,423
27,9,512,422
27,10,512,408
27,11,512,406
27,12,512,410
27,13,512,407
27,14,512,412
27,15,476,374
28,0,512,417
28,1,512,406
28,2,512,420
28,3,512,404
28,4,512,398
28,5,512,410
28,6,512,408
28,7,512,401
28,8,512,411
28,9,512,406
28,10,512,410
28,11,512,406
28,12,512,408
28,13,512,384
