Epoch,Batch,Num trials,Number correct
0,0,512,20
0,1,512,29
0,2,512,17
0,3,512,14
0,4,512,18
0,5,512,24
0,6,512,28
0,7,512,21
0,8,512,17
0,9,512,14
0,10,512,19
0,11,512,26
0,12,512,32
0,13,512,23
0,14,512,25
0,15,476,23
1,0,512,27
1,1,512,30
1,2,512,31
1,3,512,24
1,4,512,28
1,5,512,22
1,6,512,27
1,7,512,17
1,8,512,20
1,9,512,22
1,10,512,24
1,11,512,25
1,12,512,23
1,13,512,22
1,14,512,28
1,15,476,29
2,0,512,27
2,1,512,45
2,2,512,44
2,3,512,43
2,4,512,46
2,5,512,40
2,6,512,48
2,7,512,50
2,8,512,51
2,9,512,40
2,10,512,38
2,11,512,34
2,12,512,33
2,13,512,47
2,14,512,31
2,15,476,41
3,0,512,45
3,1,512,63
3,2,512,47
3,3,512,52
3,4,512,56
3,5,512,58
3,6,512,41
3,7,512,33
3,8,512,54
3,9,512,58
3,10,512,57
3,11,512,63
3,12,512,62
3,13,512,68
3,14,512,67
3,15,476,89
4,0,512,61
4,1,512,72
4,2,512,90
4,3,512,99
4,4,512,74
4,5,512,97
4,6,512,98
4,7,512,83
4,8,512,99
4,9,512,97
4,10,512,87
4,11,512,101
4,12,512,97
4,13,512,91
4,14,512,102
4,15,476,93
5,0,512,84
5,1,512,92
5,2,512,95
5,3,512,113
5,4,512,109
5,5,512,96
5,6,512,93
5,7,512,80
5,8,512,104
5,9,512,79
5,10,512,121
5,11,512,93
5,12,512,104
5,13,512,97
5,14,512,104
5,15,476,92
6,0,512,100
6,1,512,112
6,2,512,95
6,3,512,92
6,4,512,98
6,5,512,98
6,6,512,98
6,7,512,110
6,8,512,108
6,9,512,104
6,10,512,107
6,11,512,109
6,12,512,110
6,13,512,112
6,14,512,102
6,15,476,100
7,0,512,95
7,1,512,113
7,2,512,108
7,3,512,123
7,4,512,139
7,5,512,107
7,6,512,115
7,7,512,120
7,8,512,117
7,9,512,122
7,10,512,122
7,11,512,137
7,12,512,114
7,13,512,105
7,14,512,112
7,15,476,112
8,0,512,138
8,1,512,119
8,2,512,139
8,3,512,135
8,4,512,124
8,5,512,132
8,6,512,146
8,7,512,131
8,8,512,119
8,9,512,117
8,10,512,132
8,11,512,133
8,12,512,118
8,13,512,127
8,14,512,127
8,15,476,140
9,0,512,151
9,1,512,145
9,2,512,124
9,3,512,131
9,4,512,125
9,5,512,122
9,6,512,132
9,7,512,110
9,8,512,123
9,9,512,143
9,10,512,135
9,11,512,143
9,12,512,128
9,13,512,122
9,14,512,147
9,15,476,119
10,0,512,132
10,1,512,151
10,2,512,128
10,3,512,155
10,4,512,137
10,5,512,163
10,6,512,150
10,7,512,147
10,8,512,147
10,9,512,146
10,10,512,142
10,11,512,131
10,12,512,160
10,13,512,161
10,14,512,152
10,15,476,133
11,0,512,178
11,1,512,148
11,2,512,170
11,3,512,172
11,4,512,174
11,5,512,180
11,6,512,176
11,7,512,167
11,8,512,181
11,9,512,185
11,10,512,165
11,11,512,161
11,12,512,169
11,13,512,190
11,14,512,186
11,15,476,160
12,0,512,190
12,1,512,186
12,2,512,179
12,3,512,186
12,4,512,170
12,5,512,146
12,6,512,162
12,7,512,175
12,8,512,153
12,9,512,155
12,10,512,152
12,11,512,163
12,12,512,170
12,13,512,161
12,14,512,182
12,15,476,172
