Epoch,Batch,Num trials,Number correct
0,0,512,26
0,1,512,25
0,2,512,20
0,3,512,32
0,4,512,46
0,5,512,35
0,6,512,41
0,7,512,39
0,8,512,42
0,9,512,41
0,10,512,34
0,11,512,23
0,12,512,29
0,13,512,20
0,14,512,30
0,15,476,21
1,0,512,25
1,1,512,26
1,2,512,34
1,3,512,53
1,4,512,57
1,5,512,49
1,6,512,50
1,7,512,63
1,8,512,61
1,9,512,59
1,10,512,77
1,11,512,90
1,12,512,61
1,13,512,83
1,14,512,73
1,15,476,78
2,0,512,87
2,1,512,118
2,2,512,97
2,3,512,100
2,4,512,109
2,5,512,102
2,6,512,109
2,7,512,115
2,8,512,105
2,9,512,95
2,10,512,101
2,11,512,107
2,12,512,110
2,13,512,132
2,14,512,129
2,15,476,96
3,0,512,117
3,1,512,120
3,2,512,114
3,3,512,119
3,4,512,150
3,5,512,140
3,6,512,132
3,7,512,137
3,8,512,132
3,9,512,119
3,10,512,109
3,11,512,137
3,12,512,123
3,13,512,123
3,14,512,139
3,15,476,138
4,0,512,162
4,1,512,161
4,2,512,177
4,3,512,153
4,4,512,150
4,5,512,175
4,6,512,165
4,7,512,171
4,8,512,176
4,9,512,161
4,10,512,163
4,11,512,166
4,12,512,162
4,13,512,158
4,14,512,168
4,15,476,146
5,0,512,165
5,1,512,199
5,2,512,176
5,3,512,199
5,4,512,189
5,5,512,149
5,6,512,199
5,7,512,172
5,8,512,196
5,9,512,174
5,10,512,199
5,11,512,197
5,12,512,163
5,13,512,172
5,14,512,179
5,15,476,168
6,0,512,192
6,1,512,192
6,2,512,185
6,3,512,208
6,4,512,206
6,5,512,200
6,6,512,185
6,7,512,209
6,8,512,191
6,9,512,214
6,10,512,194
6,11,512,196
6,12,512,196
6,13,512,212
6,14,512,199
6,15,476,184
7,0,512,211
7,1,512,234
7,2,512,231
7,3,512,234
7,4,512,242
7,5,512,229
7,6,512,218
7,7,512,209
7,8,512,202
7,9,512,214
7,10,512,235
7,11,512,215
7,12,512,222
7,13,512,224
7,14,512,244
7,15,476,207
8,0,512,228
8,1,512,239
8,2,512,221
8,3,512,254
8,4,512,228
8,5,512,222
8,6,512,222
8,7,512,228
8,8,512,229
8,9,512,229
8,10,512,252
8,11,512,253
8,12,512,261
8,13,512,257
8,14,512,271
8,15,476,233
9,0,512,240
9,1,512,236
9,2,512,261
9,3,512,277
9,4,512,249
9,5,512,238
9,6,512,252
9,7,512,260
9,8,512,257
9,9,512,281
9,10,512,260
9,11,512,239
9,12,512,253
9,13,512,271
9,14,512,253
9,15,476,249
10,0,512,279
10,1,512,284
10,2,512,276
10,3,512,266
10,4,512,268
10,5,512,262
10,6,512,267
10,7,512,267
10,8,512,255
10,9,512,289
10,10,512,274
10,11,512,283
10,12,512,267
10,13,512,249
10,14,512,293
10,15,476,252
11,0,512,287
