Epoch,Batch,Num trials,Number correct,Input Recurrent rewired,Input Recurrent Inh rewired,Recurrent Recurrent rewired
0,0,512,24,110,89,29
0,1,512,26,147,122,46
0,2,512,25,151,133,70
0,3,512,31,150,161,80
0,4,512,36,148,175,81
0,5,512,30,141,197,105
0,6,512,26,143,193,114
0,7,512,26,137,192,125
0,8,512,23,115,200,129
0,9,512,27,117,217,133
0,10,512,28,119,222,135
0,11,512,45,102,230,145
0,12,512,40,97,241,149
0,13,512,36,104,270,133
0,14,512,53,109,278,140
0,15,476,57,102,285,143
1,0,512,66,95,278,137
1,1,512,67,82,288,146
1,2,512,62,65,304,136
1,3,512,66,80,317,144
1,4,512,74,83,305,139
1,5,512,78,93,285,142
1,6,512,93,89,303,150
1,7,512,76,87,304,166
1,8,512,86,97,315,160
1,9,512,96,80,310,151
1,10,512,77,70,305,145
1,11,512,72,81,313,134
1,12,512,102,73,302,140
1,13,512,95,77,285,144
1,14,512,92,78,282,157
1,15,476,103,64,292,154
2,0,512,121,68,285,141
2,1,512,130,61,300,138
2,2,512,133,61,288,144
2,3,512,123,72,305,138
2,4,512,119,78,297,130
2,5,512,116,70,301,129
2,6,512,106,67,291,138
2,7,512,114,63,310,137
2,8,512,93,57,321,136
2,9,512,120,61,339,126
2,10,512,144,54,305,119
2,11,512,126,57,311,124
2,12,512,126,55,291,113
2,13,512,136,54,305,112
2,14,512,120,59,269,120
2,15,476,120,53,270,123
3,0,512,142,52,290,106
3,1,512,149,42,268,89
3,2,512,155,51,281,105
3,3,512,150,62,265,108
3,4,512,147,70,254,111
3,5,512,145,57,265,101
3,6,512,127,37,252,94
3,7,512,141,50,250,105
3,8,512,140,59,227,102
3,9,512,146,53,251,100
3,10,512,157,44,265,109
3,11,512,161,47,252,102
3,12,512,173,46,252,93
3,13,512,170,52,234,107
3,14,512,175,49,218,89
3,15,476,162,66,220,89
4,0,512,201,66,221,96
4,1,512,185,57,217,81
4,2,512,178,52,218,87
4,3,512,175,47,201,93
4,4,512,188,46,199,94
4,5,512,198,54,194,92
4,6,512,189,60,202,96
4,7,512,163,53,232,83
4,8,512,180,49,212,85
4,9,512,211,44,196,85
4,10,512,202,39,202,80
4,11,512,197,46,198,84
4,12,512,197,49,192,78
4,13,512,205,49,175,72
4,14,512,197,49,176,62
4,15,476,187,55,166,78
5,0,512,231,62,193,86
5,1,512,208,55,164,83
5,2,512,218,39,155,92
5,3,512,220,49,143,76
5,4,512,207,50,148,68
5,5,512,225,52,156,74
5,6,512,213,63,157,69
5,7,512,215,46,162,70
5,8,512,248,54,155,69
5,9,512,214,47,145,60
5,10,512,226,40,152,66
5,11,512,213,46,129,72
5,12,512,225,41,123,67
5,13,512,207,36,140,64
5,14,512,226,45,146,76
5,15,476,221,52,141,74
6,0,512,220,45,142,74
6,1,512,240,45,126,73
6,2,512,222,46,115,74
6,3,512,245,39,121,64
6,4,512,239,31,155,60
6,5,512,236,35,149,65
6,6,512,233,47,164,56
6,7,512,215,51,145,50
6,8,512,232,57,130,43
6,9,512,244,46,141,45
6,10,512,231,43,124,52
6,11,512,237,47,133,46
6,12,512,245,55,130,46
6,13,512,257,50,126,44
6,14,512,260,44,110,40
6,15,476,221,45,106,41
7,0,512,260,56,130,38
7,1,512,243,48,130,38
7,2,512,262,45,139,49
7,3,512,227,43,110,43
7,4,512,271,38,109,46
7,5,512,268,32,121,38
7,6,512,242,40,132,30
7,7,512,260,47,124,38
7,8,512,234,40,105,41
7,9,512,264,28,105,38
7,10,512,267,40,108,40
7,11,512,264,41,119,32
7,12,512,253,60,91,35
7,13,512,257,61,91,37
7,14,512,257,61,93,42
7,15,476,238,49,89,31
8,0,512,279,47,91,39
8,1,512,274,41,82,42
8,2,512,285,40,80,36
8,3,512,238,39,79,36
8,4,512,276,43,81,41
8,5,512,265,40,98,39
8,6,512,266,39,99,46
8,7,512,272,40,103,43
8,8,512,274,43,93,34
8,9,512,278,44,93,36
8,10,512,267,39,102,41
8,11,512,266,48,108,35
8,12,512,257,40,105,28
8,13,512,253,33,99,30
8,14,512,264,39,104,37
8,15,476,238,36,89,33
9,0,512,289,39,77,31
9,1,512,282,37,68,37
9,2,512,282,34,74,36
9,3,512,277,47,79,33
9,4,512,273,50,82,32
9,5,512,279,47,75,33
9,6,512,280,29,69,30
9,7,512,256,38,79,30
9,8,512,282,48,74,29
9,9,512,266,44,88,27
9,10,512,275,31,86,31
9,11,512,286,27,77,29
9,12,512,303,36,77,35
9,13,512,258,36,71,41
9,14,512,294,28,85,38
9,15,476,266,38,92,37
10,0,512,276,38,86,36
10,1,512,292,31,93,34
10,2,512,288,39,84,30
10,3,512,310,28,82,33
10,4,512,302,40,100,31
10,5,512,279,37,87,26
10,6,512,276,36,77,27
10,7,512,288,42,71,29
10,8,512,287,44,74,26
10,9,512,291,36,85,30
10,10,512,321,47,85,27
10,11,512,327,37,80,19
10,12,512,293,33,75,26
10,13,512,311,32,75,29
10,14,512,302,40,76,21
10,15,476,270,43,76,26
11,0,512,283,35,93,21
11,1,512,300,31,90,26
11,2,512,323,28,88,27
11,3,512,282,28,94,25
11,4,512,286,40,88,30
11,5,512,301,41,93,30
11,6,512,308,27,75,22
11,7,512,310,25,69,22
11,8,512,301,25,83,26
11,9,512,332,28,81,24
11,10,512,330,30,85,24
11,11,512,306,33,76,23
11,12,512,328,31,88,24
11,13,512,319,27,78,27
11,14,512,310,31,85,26
11,15,476,305,30,85,22
12,0,512,340,29,91,22
12,1,512,352,28,85,24
12,2,512,309,24,79,22
12,3,512,320,28,57,20
12,4,512,306,29,75,29
12,5,512,280,32,68,30
12,6,512,274,31,60,28
12,7,512,285,32,56,27
12,8,512,304,38,48,32
12,9,512,307,40,55,33
12,10,512,341,30,59,25
12,11,512,317,38,58,24
12,12,512,301,35,74,26
12,13,512,340,31,69,26
12,14,512,310,29,58,22
12,15,476,290,36,56,26
13,0,512,321,35,73,29
13,1,512,324,30,71,29
13,2,512,339,35,63,30
13,3,512,300,35,70,25
13,4,512,313,30,62,19
13,5,512,306,28,59,18
13,6,512,334,29,61,19
13,7,512,313,27,65,19
13,8,512,316,31,58,26
13,9,512,343,28,60,26
13,10,512,354,28,54,22
13,11,512,358,27,56,20
13,12,512,341,35,57,22
13,13,512,344,38,58,21
13,14,512,337,37,49,26
13,15,476,310,25,49,19
14,0,512,340,29,59,22
14,1,512,337,26,64,27
14,2,512,353,24,51,28
14,3,512,346,28,57,32
14,4,512,327,24,61,24
14,5,512,319,25,46,24
14,6,512,320,34,49,34
14,7,512,338,25,49,22
14,8,512,352,29,53,16
14,9,512,357,37,52,15
14,10,512,323,32,59,14
14,11,512,343,30,56,19
14,12,512,341,36,53,17
14,13,512,351,29,52,14
14,14,512,325,27,44,17
14,15,476,305,26,47,20
15,0,512,327,26,58,25
15,1,512,368,32,54,28
15,2,512,374,30,62,22
15,3,512,335,34,61,20
15,4,512,327,34,61,24
15,5,512,324,28,51,27
15,6,512,340,28,50,20
15,7,512,355,19,52,21
15,8,512,335,24,48,19
15,9,512,333,22,48,20
15,10,512,347,22,52,20
15,11,512,340,23,54,16
15,12,512,356,21,49,20
15,13,512,349,27,47,18
15,14,512,354,24,52,23
15,15,476,313,27,57,21
16,0,512,358,23,49,24
16,1,512,347,23,64,22
16,2,512,356,28,58,18
16,3,512,322,37,60,22
16,4,512,353,28,55,17
16,5,512,329,25,65,17
16,6,512,337,26,53,14
16,7,512,372,21,56,13
16,8,512,340,23,48,16
16,9,512,357,22,57,14
16,10,512,359,15,51,16
16,11,512,321,16,40,15
16,12,512,334,16,48,20
16,13,512,350,19,41,20
16,14,512,348,27,40,20
16,15,476,325,28,42,18
17,0,512,342,35,44,14
17,1,512,351,32,46,22
17,2,512,344,35,49,23
17,3,512,366,32,54,22
17,4,512,347,35,59,24
17,5,512,355,38,46,22
17,6,512,378,25,42,16
17,7,512,372,21,42,17
17,8,512,353,29,49,17
17,9,512,346,27,44,12
17,10,512,353,24,40,14
17,11,512,349,21,46,16
17,12,512,356,28,41,23
17,13,512,368,24,40,18
17,14,512,367,25,39,17
17,15,476,341,23,49,20
18,0,512,360,20,43,24
18,1,512,349,24,38,22
18,2,512,359,18,48,15
18,3,512,373,19,51,18
18,4,512,347,25,54,18
18,5,512,359,20,60,22
18,6,512,380,16,54,14
18,7,512,371,21,51,13
18,8,512,366,31,52,15
18,9,512,374,28,50,11
18,10,512,374,29,43,12
18,11,512,373,27,32,15
18,12,512,351,19,38,13
18,13,512,344,21,43,17
18,14,512,354,28,51,16
18,15,476,314,24,46,15
19,0,512,362,23,48,16
19,1,512,362,28,44,15
19,2,512,385,31,48,14
19,3,512,396,32,41,18
19,4,512,378,31,35,18
19,5,512,373,22,37,12
19,6,512,383,23,38,13
19,7,512,358,30,32,19
19,8,512,381,27,46,20
19,9,512,377,25,42,20
19,10,512,384,21,42,19
19,11,512,387,29,34,16
19,12,512,364,31,32,17
19,13,512,381,25,29,20
19,14,512,381,18,27,23
19,15,476,350,27,33,21
20,0,512,380,31,32,24
20,1,512,387,28,41,26
20,2,512,369,23,36,23
20,3,512,362,29,34,19
20,4,512,360,32,34,22
20,5,512,359,33,36,13
20,6,512,364,37,38,14
