System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:10:27:601, 45308695993626,    0.112,    2.000,  800,   5.292,   0.594,   0.165,   1.248,   0.140,   0.039, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:27:702, 45308987326081,    0.213,    8.000, 1600,   5.171,   1.112,   0.309,   1.139,   0.254,   0.071, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:27:818, 45309324438223,    0.329,    2.000,  800,   4.586,   1.645,   0.457,   0.543,   0.317,   0.088, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:27:928, 45309643889944,    0.439,    0.000,  800,   4.539,   2.144,   0.596,   0.492,   0.371,   0.103, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:038, 45309962876742,    0.548,    2.000,  800,   4.580,   2.647,   0.735,   0.528,   0.429,   0.119, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:139, 45310255874184,    0.649,    4.000, 1900,   4.893,   3.141,   0.872,   0.836,   0.514,   0.143, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:250, 45310578621240,    0.760,    0.000,  800,   4.526,   3.644,   1.012,   0.486,   0.568,   0.158, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:367, 45310924485482,    0.880,   13.000,  800,   4.909,   4.229,   1.175,   0.874,   0.672,   0.187, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:467, 45311209848730,    0.978,   17.000, 4000,   8.145,   5.029,   1.397,   4.153,   1.080,   0.300, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:583, 45311546318075,    1.094,   16.000, 1200,   6.889,   5.827,   1.619,   2.788,   1.403,   0.390, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:685, 45311841996078,    1.196,    8.000, 3900,   8.799,   6.723,   1.867,   4.746,   1.886,   0.524, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:799, 45312174295052,    1.310,    7.000, 3900,  13.036,   8.215,   2.282,   8.959,   2.911,   0.809, 33,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:28:900, 45312467876376,    1.411,   17.000, 3900,  16.552,   9.888,   2.747,  12.491,   4.174,   1.159, 34,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:021, 45312819468577,    1.532,    7.000, 2700,  11.172,  11.241,   3.122,   7.116,   5.036,   1.399, 33,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:121, 45313110675859,    1.632,    6.000,  800,   6.083,  11.851,   3.292,   2.030,   5.239,   1.455, 33,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:233, 45313435456404,    1.744,    0.000,  800,   4.530,  12.357,   3.433,   0.477,   5.293,   1.470, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:349, 45313771607006,    1.860,   14.000, 1200,   4.985,  12.934,   3.593,   0.930,   5.400,   1.500, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:449, 45314062368235,    1.960,    9.000, 4000,  12.252,  14.161,   3.934,   8.233,   6.225,   1.729, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:566, 45314400001261,    2.076,    6.000, 2500,  10.300,  15.358,   4.266,   6.246,   6.951,   1.931, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:668, 45314696786003,    2.179,   13.000, 3700,   6.548,  16.028,   4.452,   2.512,   7.208,   2.002, 31,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:785, 45315037484016,    2.296,    4.000, 3900,   7.085,  16.859,   4.683,   2.998,   7.559,   2.100, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:29:884, 45315325612912,    2.395,    6.000, 4000,  11.552,  18.005,   5.001,   7.521,   8.305,   2.307, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:30:002, 45315667550034,    2.513,    4.000,  800,   7.150,  18.847,   5.235,   3.122,   8.673,   2.409, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
13:10:30:112, 45315988096448,    2.623,    3.000, 3900,   5.814,  19.489,   5.413,   1.802,   8.872,   2.464, 32,  0,   0.000,   0.000,   0.000,  65.000,  81.250,   0.000,  65.000,   0.000
