Epoch,Batch,Num trials,Number correct
0,0,512,26
0,1,512,29
0,2,512,22
0,3,512,23
0,4,512,27
0,5,512,35
0,6,512,33
0,7,512,28
0,8,512,40
0,9,512,24
0,10,512,32
0,11,512,21
0,12,512,34
0,13,512,35
0,14,512,22
0,15,476,34
1,0,512,58
1,1,512,29
1,2,512,29
1,3,512,34
1,4,512,27
1,5,512,40
1,6,512,48
1,7,512,54
1,8,512,23
1,9,512,34
1,10,512,25
1,11,512,22
1,12,512,28
1,13,512,30
1,14,512,22
1,15,476,43
2,0,512,34
2,1,512,40
2,2,512,24
2,3,512,33
2,4,512,45
2,5,512,41
2,6,512,46
2,7,512,21
2,8,512,35
2,9,512,53
2,10,512,62
2,11,512,51
2,12,512,55
2,13,512,24
2,14,512,17
2,15,476,27
3,0,512,56
3,1,512,46
3,2,512,40
3,3,512,61
3,4,512,53
3,5,512,64
3,6,512,76
3,7,512,60
3,8,512,74
3,9,512,43
3,10,512,50
3,11,512,53
3,12,512,45
3,13,512,46
3,14,512,40
3,15,476,79
4,0,512,60
4,1,512,56
4,2,512,45
4,3,512,77
4,4,512,53
4,5,512,59
4,6,512,66
4,7,512,69
4,8,512,57
4,9,512,142
4,10,512,78
4,11,512,74
4,12,512,84
4,13,512,78
4,14,512,62
4,15,476,18
5,0,512,64
5,1,512,58
5,2,512,73
5,3,512,99
5,4,512,76
5,5,512,93
5,6,512,115
5,7,512,73
5,8,512,37
5,9,512,82
5,10,512,47
5,11,512,79
5,12,512,55
5,13,512,86
5,14,512,79
5,15,476,77
6,0,512,145
6,1,512,130
6,2,512,150
6,3,512,92
6,4,512,75
6,5,512,40
6,6,512,40
6,7,512,85
6,8,512,92
6,9,512,91
6,10,512,76
6,11,512,133
6,12,512,138
6,13,512,113
6,14,512,61
6,15,476,85
7,0,512,42
7,1,512,44
7,2,512,75
7,3,512,96
7,4,512,66
7,5,512,87
7,6,512,84
7,7,512,116
7,8,512,108
7,9,512,88
7,10,512,83
7,11,512,57
7,12,512,93
7,13,512,88
7,14,512,61
7,15,476,108
8,0,512,71
8,1,512,98
8,2,512,166
8,3,512,131
8,4,512,100
8,5,512,108
8,6,512,162
8,7,512,98
8,8,512,70
8,9,512,82
8,10,512,77
8,11,512,117
8,12,512,60
8,13,512,65
8,14,512,101
8,15,476,87
9,0,512,120
