Epoch,Batch,Num trials,Number correct
0,0,512,38
0,1,512,16
0,2,512,25
0,3,512,30
0,4,512,23
0,5,512,28
0,6,512,39
0,7,512,60
0,8,512,64
0,9,512,58
0,10,512,45
0,11,512,45
0,12,512,31
0,13,512,38
0,14,512,31
0,15,476,56
1,0,512,55
1,1,512,65
1,2,512,49
1,3,512,70
1,4,512,74
1,5,512,61
1,6,512,84
1,7,512,64
1,8,512,44
1,9,512,66
1,10,512,72
1,11,512,55
1,12,512,64
1,13,512,87
1,14,512,73
1,15,476,70
2,0,512,102
2,1,512,85
2,2,512,97
2,3,512,107
2,4,512,95
2,5,512,95
2,6,512,115
2,7,512,98
2,8,512,60
2,9,512,43
2,10,512,91
2,11,512,120
2,12,512,90
2,13,512,94
2,14,512,90
2,15,476,71
3,0,512,112
3,1,512,101
3,2,512,129
3,3,512,123
3,4,512,141
3,5,512,120
3,6,512,125
3,7,512,162
3,8,512,108
3,9,512,95
3,10,512,108
3,11,512,127
3,12,512,123
3,13,512,99
3,14,512,108
3,15,476,79
4,0,512,104
4,1,512,153
4,2,512,150
4,3,512,143
4,4,512,99
4,5,512,113
4,6,512,143
4,7,512,144
4,8,512,137
4,9,512,142
4,10,512,162
4,11,512,101
4,12,512,151
4,13,512,164
4,14,512,160
4,15,476,141
5,0,512,142
5,1,512,145
5,2,512,140
5,3,512,173
5,4,512,152
5,5,512,169
5,6,512,201
5,7,512,174
5,8,512,204
5,9,512,200
5,10,512,255
5,11,512,178
5,12,512,159
5,13,512,140
5,14,512,142
5,15,476,176
6,0,512,228
6,1,512,209
6,2,512,200
6,3,512,225
6,4,512,217
6,5,512,237
6,6,512,224
6,7,512,198
6,8,512,173
6,9,512,170
6,10,512,136
6,11,512,124
6,12,512,154
6,13,512,174
6,14,512,235
6,15,476,196
7,0,512,212
7,1,512,197
7,2,512,193
7,3,512,260
7,4,512,206
7,5,512,170
7,6,512,149
7,7,512,155
7,8,512,150
7,9,512,179
7,10,512,202
7,11,512,189
7,12,512,174
7,13,512,165
7,14,512,201
7,15,476,165
8,0,512,163
8,1,512,181
8,2,512,196
8,3,512,214
8,4,512,196
8,5,512,189
8,6,512,209
8,7,512,187
8,8,512,233
8,9,512,254
8,10,512,245
8,11,512,247
8,12,512,242
8,13,512,203
8,14,512,140
8,15,476,159
9,0,512,227
9,1,512,207
9,2,512,222
9,3,512,209
9,4,512,253
9,5,512,264
9,6,512,238
