Epoch,Batch,Num trials,Number correct
0,0,512,17
0,1,512,27
0,2,512,42
0,3,512,15
0,4,512,24
0,5,512,20
0,6,512,21
0,7,512,34
0,8,512,42
0,9,512,43
0,10,512,49
0,11,512,36
0,12,512,44
0,13,512,47
0,14,512,51
0,15,476,61
1,0,512,58
1,1,512,65
1,2,512,80
1,3,512,77
1,4,512,87
1,5,512,72
1,6,512,55
1,7,512,60
1,8,512,78
1,9,512,61
1,10,512,65
1,11,512,50
1,12,512,51
1,13,512,77
1,14,512,95
1,15,476,79
2,0,512,93
2,1,512,89
2,2,512,76
2,3,512,85
2,4,512,100
2,5,512,66
2,6,512,74
2,7,512,61
2,8,512,76
2,9,512,93
2,10,512,75
2,11,512,96
2,12,512,92
2,13,512,87
2,14,512,81
2,15,476,47
3,0,512,58
3,1,512,95
3,2,512,52
3,3,512,57
3,4,512,43
3,5,512,87
3,6,512,68
3,7,512,62
3,8,512,53
3,9,512,55
3,10,512,58
3,11,512,64
3,12,512,62
3,13,512,89
3,14,512,110
3,15,476,113
4,0,512,105
4,1,512,97
4,2,512,92
4,3,512,102
4,4,512,103
4,5,512,98
4,6,512,129
4,7,512,103
4,8,512,105
4,9,512,118
4,10,512,128
4,11,512,128
4,12,512,113
4,13,512,130
4,14,512,131
4,15,476,105
5,0,512,95
5,1,512,114
5,2,512,132
5,3,512,146
5,4,512,145
5,5,512,155
5,6,512,152
5,7,512,133
5,8,512,117
5,9,512,155
5,10,512,157
5,11,512,155
5,12,512,150
5,13,512,153
5,14,512,149
5,15,476,117
6,0,512,157
6,1,512,161
6,2,512,189
6,3,512,205
6,4,512,169
6,5,512,183
6,6,512,193
6,7,512,183
6,8,512,183
6,9,512,164
6,10,512,167
6,11,512,200
6,12,512,213
6,13,512,180
6,14,512,211
6,15,476,158
7,0,512,142
7,1,512,166
7,2,512,167
7,3,512,184
7,4,512,174
7,5,512,194
7,6,512,166
7,7,512,152
7,8,512,192
7,9,512,190
7,10,512,186
7,11,512,200
7,12,512,169
7,13,512,165
7,14,512,134
7,15,476,146
8,0,512,193
8,1,512,181
8,2,512,220
8,3,512,212
8,4,512,213
8,5,512,179
8,6,512,189
8,7,512,204
8,8,512,204
8,9,512,189
8,10,512,186
8,11,512,200
8,12,512,187
8,13,512,194
8,14,512,206
8,15,476,172
9,0,512,226
9,1,512,203
9,2,512,193
9,3,512,191
9,4,512,170
9,5,512,181
9,6,512,188
9,7,512,193
9,8,512,247
9,9,512,227
9,10,512,179
9,11,512,148
9,12,512,188
9,13,512,192
9,14,512,194
9,15,476,205
10,0,512,240
10,1,512,206
10,2,512,177
10,3,512,182
10,4,512,205
10,5,512,226
10,6,512,247
10,7,512,253
10,8,512,215
10,9,512,242
10,10,512,224
10,11,512,220
10,12,512,214
10,13,512,226
10,14,512,224
10,15,476,222
11,0,512,231
11,1,512,220
11,2,512,255
11,3,512,285
11,4,512,285
11,5,512,278
11,6,512,271
11,7,512,269
11,8,512,256
11,9,512,244
11,10,512,214
11,11,512,156
11,12,512,181
11,13,512,173
11,14,512,171
11,15,476,162
12,0,512,152
12,1,512,216
12,2,512,199
12,3,512,210
12,4,512,230
12,5,512,241
12,6,512,283
12,7,512,271
12,8,512,285
12,9,512,273
12,10,512,242
12,11,512,227
12,12,512,235
12,13,512,238
12,14,512,251
12,15,476,234
13,0,512,227
13,1,512,209
13,2,512,219
13,3,512,191
13,4,512,214
13,5,512,221
13,6,512,256
13,7,512,266
13,8,512,254
13,9,512,253
13,10,512,234
13,11,512,276
13,12,512,255
13,13,512,242
13,14,512,246
13,15,476,209
14,0,512,233
14,1,512,204
14,2,512,184
14,3,512,170
14,4,512,205
14,5,512,216
14,6,512,273
14,7,512,294
14,8,512,294
14,9,512,281
14,10,512,289
14,11,512,238
14,12,512,259
14,13,512,255
14,14,512,302
14,15,476,250
15,0,512,281
15,1,512,250
15,2,512,242
15,3,512,236
15,4,512,255
15,5,512,241
15,6,512,259
15,7,512,225
15,8,512,252
15,9,512,240
15,10,512,267
15,11,512,305
15,12,512,281
15,13,512,281
15,14,512,289
15,15,476,263
16,0,512,253
16,1,512,257
16,2,512,259
16,3,512,267
16,4,512,281
16,5,512,310
16,6,512,301
16,7,512,294
16,8,512,289
16,9,512,290
16,10,512,282
16,11,512,295
16,12,512,296
16,13,512,308
16,14,512,345
16,15,476,314
17,0,512,313
17,1,512,300
17,2,512,303
17,3,512,294
17,4,512,325
17,5,512,338
17,6,512,315
17,7,512,268
17,8,512,293
17,9,512,318
17,10,512,280
17,11,512,298
17,12,512,288
17,13,512,301
17,14,512,300
17,15,476,283
18,0,512,316
18,1,512,307
18,2,512,299
18,3,512,302
18,4,512,298
18,5,512,288
18,6,512,289
18,7,512,317
18,8,512,320
18,9,512,331
18,10,512,300
18,11,512,280
18,12,512,302
18,13,512,325
18,14,512,329
18,15,476,302
19,0,512,286
19,1,512,284
19,2,512,310
19,3,512,322
19,4,512,317
19,5,512,315
19,6,512,267
19,7,512,285
19,8,512,270
19,9,512,294
19,10,512,291
19,11,512,328
19,12,512,308
19,13,512,309
19,14,512,298
19,15,476,245
20,0,512,267
20,1,512,360
20,2,512,344
20,3,512,352
20,4,512,351
20,5,512,326
20,6,512,336
20,7,512,349
20,8,512,342
20,9,512,350
20,10,512,370
20,11,512,344
20,12,512,312
20,13,512,290
20,14,512,306
20,15,476,335
21,0,512,334
21,1,512,335
21,2,512,340
21,3,512,323
21,4,512,328
21,5,512,336
21,6,512,361
21,7,512,344
21,8,512,337
21,9,512,345
21,10,512,347
21,11,512,313
21,12,512,298
21,13,512,303
21,14,512,279
21,15,476,273
22,0,512,316
22,1,512,303
22,2,512,283
22,3,512,336
22,4,512,322
22,5,512,326
22,6,512,305
22,7,512,309
22,8,512,278
22,9,512,282
22,10,512,314
22,11,512,307
22,12,512,319
22,13,512,297
22,14,512,285
22,15,476,260
23,0,512,273
23,1,512,288
23,2,512,325
23,3,512,315
23,4,512,326
23,5,512,332
23,6,512,315
23,7,512,286
23,8,512,293
23,9,512,301
23,10,512,333
23,11,512,294
23,12,512,274
23,13,512,253
23,14,512,265
23,15,476,293
24,0,512,324
24,1,512,335
24,2,512,320
24,3,512,283
24,4,512,303
24,5,512,281
24,6,512,291
24,7,512,296
24,8,512,288
24,9,512,325
24,10,512,319
24,11,512,304
24,12,512,338
24,13,512,339
24,14,512,348
24,15,476,320
25,0,512,341
25,1,512,330
25,2,512,319
25,3,512,354
25,4,512,325
25,5,512,294
25,6,512,343
25,7,512,351
25,8,512,338
25,9,512,349
25,10,512,350
25,11,512,366
25,12,512,382
25,13,512,360
25,14,512,333
25,15,476,318
26,0,512,375
26,1,512,363
26,2,512,389
26,3,512,370
26,4,512,359
26,5,512,373
26,6,512,359
26,7,512,351
26,8,512,350
26,9,512,362
26,10,512,372
26,11,512,366
26,12,512,366
26,13,512,371
26,14,512,364
26,15,476,338
27,0,512,346
27,1,512,358
27,2,512,382
27,3,512,372
27,4,512,395
27,5,512,373
27,6,512,361
27,7,512,352
27,8,512,360
27,9,512,357
27,10,512,376
27,11,512,383
27,12,512,365
27,13,512,376
27,14,512,346
27,15,476,326
28,0,512,349
28,1,512,344
28,2,512,341
28,3,512,337
28,4,512,341
28,5,512,349
28,6,512,350
28,7,512,366
28,8,512,351
28,9,512,375
28,10,512,361
28,11,512,357
28,12,512,317
28,13,512,335
28,14,512,351
28,15,476,342
29,0,512,368
29,1,512,368
29,2,512,328
29,3,512,342
29,4,512,346
29,5,512,360
29,6,512,344
29,7,512,341
29,8,512,359
29,9,512,372
29,10,512,377
29,11,512,363
29,12,512,389
29,13,512,388
29,14,512,369
29,15,476,357
30,0,512,371
30,1,512,363
30,2,512,364
30,3,512,345
30,4,512,380
30,5,512,380
30,6,512,385
30,7,512,374
30,8,512,379
30,9,512,401
30,10,512,387
30,11,512,389
30,12,512,392
30,13,512,392
30,14,512,378
30,15,476,363
31,0,512,394
31,1,512,387
31,2,512,391
31,3,512,382
31,4,512,389
31,5,512,413
31,6,512,395
31,7,512,383
31,8,512,372
31,9,512,400
31,10,512,403
31,11,512,400
31,12,512,416
31,13,512,407
31,14,512,402
31,15,476,367
32,0,512,387
32,1,512,394
32,2,512,372
32,3,512,375
32,4,512,394
32,5,512,388
32,6,512,381
32,7,512,386
32,8,512,393
32,9,512,378
32,10,512,371
32,11,512,378
32,12,512,390
32,13,512,403
32,14,512,402
32,15,476,354
33,0,512,391
33,1,512,397
33,2,512,389
33,3,512,395
33,4,512,398
33,5,512,397
33,6,512,391
33,7,512,414
33,8,512,402
33,9,512,385
33,10,512,390
33,11,512,388
33,12,512,395
33,13,512,404
33,14,512,412
33,15,476,354
34,0,512,379
34,1,512,406
34,2,512,389
34,3,512,409
34,4,512,372
34,5,512,383
34,6,512,374
34,7,512,392
34,8,512,390
34,9,512,385
34,10,512,390
34,11,512,390
34,12,512,400
34,13,512,382
34,14,512,418
34,15,476,375
35,0,512,407
35,1,512,385
35,2,512,391
35,3,512,395
35,4,512,395
35,5,512,387
35,6,512,375
35,7,512,372
35,8,512,389
35,9,512,385
35,10,512,398
35,11,512,378
35,12,512,386
35,13,512,386
35,14,512,381
35,15,476,379
36,0,512,414
36,1,512,405
36,2,512,417
36,3,512,393
36,4,512,405
36,5,512,382
36,6,512,376
36,7,512,402
36,8,512,389
36,9,512,416
36,10,512,400
36,11,512,389
36,12,512,414
36,13,512,398
36,14,512,406
36,15,476,368
37,0,512,417
37,1,512,426
37,2,512,423
37,3,512,400
37,4,512,415
37,5,512,424
37,6,512,390
37,7,512,386
37,8,512,387
37,9,512,412
37,10,512,423
37,11,512,402
37,12,512,409
37,13,512,403
37,14,512,416
37,15,476,378
38,0,512,413
38,1,512,401
38,2,512,380
38,3,512,396
38,4,512,413
38,5,512,424
38,6,512,383
38,7,512,393
38,8,512,411
38,9,512,432
38,10,512,421
38,11,512,418
38,12,512,412
38,13,512,424
38,14,512,403
38,15,476,388
39,0,512,396
39,1,512,423
39,2,512,419
39,3,512,416
39,4,512,400
39,5,512,419
39,6,512,410
39,7,512,402
39,8,512,402
39,9,512,402
39,10,512,425
39,11,512,411
39,12,512,417
39,13,512,423
39,14,512,423
39,15,476,398
40,0,512,441
40,1,512,422
40,2,512,441
40,3,512,407
40,4,512,434
40,5,512,438
40,6,512,426
40,7,512,420
40,8,512,412
40,9,512,418
40,10,512,406
40,11,512,407
40,12,512,413
40,13,512,381
40,14,512,371
40,15,476,352
41,0,512,398
41,1,512,403
41,2,512,406
41,3,512,405
41,4,512,374
41,5,512,386
41,6,512,361
41,7,512,400
41,8,512,429
41,9,512,423
41,10,512,422
41,11,512,410
41,12,512,403
41,13,512,410
41,14,512,382
41,15,476,346
42,0,512,350
42,1,512,358
42,2,512,343
42,3,512,392
42,4,512,405
42,5,512,406
42,6,512,428
42,7,512,419
42,8,512,403
42,9,512,385
42,10,512,378
42,11,512,382
42,12,512,418
42,13,512,403
42,14,512,403
42,15,476,329
43,0,512,367
43,1,512,386
43,2,512,403
43,3,512,393
43,4,512,402
43,5,512,380
43,6,512,382
43,7,512,369
43,8,512,397
43,9,512,371
43,10,512,402
43,11,512,390
