Epoch,Batch,Num trials,Number correct
0,0,512,27
0,1,512,27
0,2,512,16
0,3,512,31
0,4,512,44
0,5,512,43
0,6,512,55
0,7,512,75
0,8,512,89
0,9,512,63
0,10,512,74
0,11,512,77
0,12,512,107
0,13,512,89
0,14,512,92
0,15,476,98
1,0,512,98
1,1,512,97
1,2,512,133
1,3,512,121
1,4,512,108
1,5,512,116
1,6,512,161
1,7,512,137
1,8,512,163
1,9,512,161
1,10,512,134
1,11,512,138
1,12,512,181
1,13,512,154
1,14,512,176
1,15,476,160
2,0,512,151
2,1,512,172
2,2,512,175
2,3,512,173
2,4,512,171
2,5,512,214
2,6,512,216
2,7,512,196
2,8,512,198
2,9,512,185
2,10,512,201
2,11,512,213
2,12,512,206
2,13,512,169
2,14,512,198
2,15,476,169
3,0,512,198
3,1,512,206
3,2,512,217
3,3,512,225
3,4,512,221
3,5,512,201
3,6,512,224
3,7,512,209
3,8,512,192
3,9,512,200
3,10,512,200
3,11,512,207
3,12,512,231
3,13,512,225
3,14,512,231
3,15,476,206
4,0,512,232
4,1,512,248
4,2,512,247
4,3,512,220
4,4,512,215
4,5,512,203
4,6,512,208
4,7,512,232
4,8,512,243
4,9,512,240
4,10,512,265
4,11,512,256
4,12,512,239
4,13,512,223
4,14,512,241
4,15,476,211
5,0,512,244
5,1,512,225
5,2,512,233
5,3,512,257
5,4,512,249
5,5,512,255
5,6,512,243
5,7,512,264
5,8,512,255
5,9,512,265
5,10,512,249
5,11,512,230
5,12,512,247
5,13,512,247
5,14,512,245
5,15,476,260
6,0,512,275
6,1,512,258
6,2,512,266
6,3,512,254
6,4,512,260
6,5,512,272
6,6,512,281
6,7,512,268
6,8,512,261
6,9,512,271
6,10,512,258
6,11,512,302
6,12,512,304
6,13,512,269
6,14,512,295
6,15,476,259
7,0,512,289
7,1,512,264
7,2,512,243
7,3,512,265
7,4,512,260
7,5,512,284
7,6,512,281
7,7,512,294
7,8,512,291
7,9,512,279
7,10,512,296
7,11,512,276
7,12,512,280
7,13,512,278
7,14,512,290
7,15,476,284
8,0,512,279
8,1,512,289
8,2,512,290
8,3,512,307
8,4,512,293
8,5,512,305
8,6,512,283
8,7,512,276
8,8,512,282
8,9,512,264
8,10,512,276
8,11,512,262
8,12,512,282
8,13,512,251
8,14,512,278
8,15,476,272
9,0,512,306
9,1,512,304
9,2,512,289
9,3,512,299
9,4,512,281
9,5,512,256
9,6,512,280
9,7,512,310
9,8,512,283
9,9,512,314
9,10,512,307
9,11,512,321
9,12,512,335
9,13,512,307
9,14,512,309
9,15,476,303
10,0,512,312
10,1,512,313
10,2,512,274
10,3,512,291
10,4,512,301
10,5,512,328
10,6,512,330
10,7,512,324
10,8,512,316
10,9,512,316
10,10,512,319
10,11,512,311
10,12,512,335
10,13,512,330
10,14,512,340
10,15,476,307
11,0,512,305
11,1,512,353
11,2,512,334
11,3,512,327
11,4,512,322
11,5,512,324
11,6,512,339
11,7,512,355
11,8,512,341
11,9,512,339
11,10,512,330
11,11,512,356
11,12,512,328
11,13,512,303
11,14,512,354
11,15,476,288
12,0,512,332
12,1,512,303
12,2,512,331
12,3,512,356
12,4,512,335
12,5,512,356
12,6,512,349
12,7,512,346
12,8,512,354
12,9,512,342
12,10,512,329
12,11,512,341
12,12,512,325
12,13,512,368
12,14,512,355
12,15,476,334
13,0,512,361
13,1,512,335
13,2,512,327
13,3,512,332
13,4,512,334
13,5,512,336
13,6,512,343
13,7,512,328
13,8,512,315
13,9,512,333
13,10,512,327
13,11,512,292
13,12,512,329
13,13,512,336
13,14,512,347
13,15,476,315
14,0,512,359
14,1,512,325
14,2,512,319
14,3,512,325
14,4,512,340
14,5,512,312
14,6,512,304
14,7,512,343
14,8,512,334
14,9,512,335
14,10,512,341
14,11,512,331
14,12,512,354
14,13,512,328
14,14,512,322
14,15,476,328
15,0,512,325
15,1,512,343
15,2,512,332
15,3,512,324
15,4,512,350
15,5,512,338
15,6,512,360
15,7,512,329
15,8,512,349
15,9,512,302
15,10,512,329
15,11,512,353
15,12,512,368
15,13,512,339
15,14,512,329
15,15,476,301
16,0,512,336
16,1,512,368
16,2,512,363
16,3,512,346
16,4,512,330
16,5,512,358
16,6,512,339
16,7,512,353
16,8,512,355
16,9,512,361
16,10,512,367
16,11,512,373
16,12,512,372
16,13,512,359
16,14,512,361
16,15,476,340
17,0,512,362
17,1,512,367
17,2,512,375
17,3,512,347
17,4,512,398
17,5,512,379
17,6,512,382
17,7,512,370
17,8,512,381
17,9,512,368
17,10,512,352
17,11,512,367
17,12,512,392
17,13,512,389
17,14,512,401
17,15,476,361
18,0,512,369
18,1,512,361
18,2,512,363
18,3,512,375
18,4,512,359
18,5,512,346
18,6,512,377
18,7,512,387
18,8,512,390
18,9,512,373
18,10,512,365
18,11,512,380
18,12,512,368
18,13,512,366
18,14,512,348
18,15,476,307
19,0,512,326
19,1,512,326
19,2,512,348
19,3,512,351
19,4,512,358
19,5,512,371
19,6,512,359
19,7,512,366
19,8,512,369
19,9,512,364
19,10,512,356
19,11,512,367
19,12,512,371
19,13,512,365
19,14,512,370
19,15,476,339
20,0,512,366
20,1,512,376
20,2,512,391
20,3,512,365
20,4,512,378
20,5,512,371
20,6,512,375
20,7,512,362
20,8,512,349
20,9,512,371
20,10,512,370
20,11,512,392
20,12,512,380
20,13,512,381
20,14,512,371
20,15,476,335
21,0,512,362
21,1,512,372
21,2,512,377
21,3,512,359
21,4,512,352
21,5,512,356
21,6,512,367
21,7,512,380
21,8,512,391
21,9,512,406
21,10,512,394
21,11,512,401
21,12,512,372
21,13,512,381
21,14,512,374
21,15,476,352
22,0,512,424
22,1,512,391
22,2,512,357
22,3,512,360
22,4,512,361
22,5,512,379
22,6,512,359
22,7,512,360
22,8,512,348
22,9,512,384
22,10,512,375
22,11,512,357
22,12,512,353
22,13,512,384
22,14,512,360
22,15,476,333
23,0,512,366
23,1,512,380
23,2,512,371
23,3,512,384
23,4,512,414
23,5,512,398
23,6,512,392
23,7,512,393
23,8,512,373
23,9,512,378
23,10,512,381
23,11,512,371
23,12,512,384
23,13,512,364
23,14,512,399
23,15,476,363
24,0,512,393
24,1,512,398
24,2,512,427
24,3,512,404
24,4,512,412
24,5,512,378
24,6,512,393
24,7,512,373
24,8,512,384
24,9,512,388
24,10,512,384
24,11,512,387
24,12,512,371
24,13,512,399
24,14,512,414
24,15,476,371
25,0,512,388
25,1,512,397
25,2,512,406
25,3,512,382
25,4,512,368
25,5,512,392
25,6,512,386
25,7,512,392
25,8,512,396
25,9,512,391
25,10,512,389
25,11,512,421
25,12,512,425
25,13,512,410
25,14,512,414
25,15,476,351
26,0,512,383
26,1,512,392
26,2,512,392
26,3,512,389
26,4,512,396
26,5,512,372
26,6,512,395
26,7,512,387
26,8,512,397
26,9,512,428
26,10,512,411
26,11,512,410
26,12,512,425
26,13,512,403
26,14,512,404
26,15,476,361
27,0,512,393
27,1,512,394
27,2,512,402
27,3,512,379
27,4,512,407
27,5,512,406
27,6,512,394
27,7,512,410
27,8,512,399
27,9,512,405
27,10,512,432
27,11,512,425
27,12,512,420
27,13,512,405
27,14,512,406
27,15,476,355
28,0,512,405
28,1,512,404
28,2,512,437
28,3,512,410
28,4,512,412
28,5,512,378
28,6,512,404
28,7,512,414
28,8,512,407
28,9,512,410
28,10,512,402
28,11,512,416
28,12,512,413
28,13,512,422
28,14,512,402
28,15,476,379
29,0,512,422
29,1,512,407
29,2,512,412
29,3,512,438
29,4,512,409
29,5,512,429
29,6,512,431
29,7,512,428
29,8,512,430
29,9,512,407
29,10,512,389
29,11,512,424
29,12,512,422
29,13,512,398
29,14,512,408
29,15,476,374
30,0,512,388
30,1,512,404
30,2,512,378
30,3,512,391
30,4,512,427
30,5,512,422
30,6,512,415
30,7,512,422
30,8,512,428
30,9,512,440
30,10,512,418
30,11,512,422
30,12,512,399
30,13,512,408
30,14,512,415
30,15,476,392
31,0,512,421
31,1,512,422
31,2,512,435
31,3,512,432
31,4,512,438
31,5,512,442
31,6,512,405
31,7,512,391
31,8,512,419
31,9,512,393
31,10,512,419
31,11,512,431
31,12,512,439
31,13,512,443
31,14,512,418
31,15,476,382
32,0,512,411
32,1,512,416
32,2,512,400
32,3,512,411
32,4,512,404
32,5,512,408
32,6,512,414
32,7,512,423
32,8,512,439
32,9,512,444
32,10,512,429
32,11,512,429
32,12,512,443
32,13,512,437
32,14,512,428
32,15,476,397
33,0,512,419
33,1,512,412
33,2,512,421
33,3,512,414
33,4,512,413
33,5,512,439
33,6,512,430
33,7,512,434
33,8,512,436
33,9,512,422
33,10,512,410
33,11,512,402
33,12,512,418
33,13,512,407
33,14,512,425
33,15,476,406
34,0,512,425
34,1,512,428
34,2,512,435
34,3,512,429
34,4,512,430
34,5,512,447
34,6,512,436
34,7,512,429
34,8,512,436
34,9,512,430
34,10,512,424
34,11,512,431
34,12,512,434
34,13,512,432
34,14,512,422
34,15,476,397
35,0,512,444
35,1,512,445
35,2,512,440
35,3,512,436
35,4,512,425
35,5,512,448
35,6,512,425
35,7,512,429
35,8,512,442
35,9,512,418
35,10,512,436
35,11,512,421
35,12,512,409
35,13,512,431
35,14,512,431
35,15,476,402
36,0,512,424
36,1,512,426
36,2,512,431
36,3,512,425
36,4,512,428
36,5,512,427
36,6,512,429
36,7,512,435
36,8,512,420
36,9,512,426
36,10,512,413
36,11,512,417
36,12,512,407
36,13,512,421
36,14,512,433
36,15,476,408
37,0,512,425
37,1,512,429
37,2,512,445
37,3,512,441
37,4,512,437
37,5,512,424
37,6,512,434
37,7,512,392
37,8,512,427
37,9,512,438
37,10,512,443
37,11,512,422
37,12,512,416
37,13,512,436
37,14,512,406
37,15,476,386
38,0,512,448
38,1,512,443
38,2,512,432
38,3,512,451
38,4,512,448
38,5,512,418
38,6,512,419
38,7,512,438
38,8,512,447
38,9,512,457
38,10,512,446
38,11,512,444
38,12,512,453
38,13,512,437
38,14,512,427
38,15,476,391
39,0,512,440
39,1,512,428
39,2,512,442
39,3,512,443
39,4,512,438
39,5,512,449
39,6,512,455
39,7,512,443
39,8,512,459
39,9,512,452
39,10,512,420
39,11,512,415
39,12,512,421
39,13,512,397
39,14,512,433
39,15,476,412
40,0,512,436
40,1,512,420
40,2,512,451
40,3,512,453
40,4,512,456
40,5,512,460
40,6,512,435
40,7,512,420
40,8,512,417
40,9,512,427
40,10,512,421
40,11,512,432
40,12,512,431
40,13,512,442
40,14,512,430
40,15,476,404
41,0,512,451
41,1,512,428
41,2,512,429
41,3,512,439
41,4,512,439
41,5,512,408
41,6,512,409
41,7,512,413
41,8,512,438
41,9,512,443
41,10,512,421
41,11,512,446
41,12,512,452
41,13,512,458
41,14,512,449
41,15,476,410
42,0,512,444
42,1,512,439
42,2,512,422
42,3,512,439
42,4,512,447
42,5,512,430
42,6,512,435
42,7,512,433
42,8,512,445
42,9,512,457
42,10,512,449
42,11,512,439
42,12,512,442
42,13,512,443
42,14,512,431
42,15,476,427
43,0,512,436
43,1,512,440
43,2,512,437
43,3,512,446
43,4,512,443
43,5,512,447
43,6,512,457
43,7,512,447
43,8,512,450
43,9,512,459
43,10,512,463
43,11,512,453
43,12,512,438
43,13,512,424
43,14,512,443
43,15,476,412
44,0,512,443
44,1,512,446
44,2,512,456
44,3,512,444
44,4,512,461
44,5,512,448
44,6,512,440
44,7,512,447
44,8,512,451
44,9,512,444
44,10,512,449
44,11,512,442
44,12,512,436
44,13,512,460
44,14,512,448
44,15,476,429
45,0,512,465
45,1,512,474
45,2,512,459
45,3,512,457
45,4,512,448
45,5,512,437
45,6,512,455
45,7,512,457
45,8,512,462
45,9,512,444
45,10,512,455
45,11,512,453
45,12,512,451
45,13,512,448
45,14,512,437
45,15,476,409
46,0,512,457
46,1,512,455
46,2,512,452
46,3,512,472
46,4,512,456
46,5,512,466
46,6,512,450
46,7,512,460
46,8,512,439
46,9,512,454
46,10,512,454
46,11,512,450
46,12,512,454
46,13,512,451
46,14,512,461
46,15,476,421
47,0,512,451
47,1,512,444
47,2,512,449
47,3,512,446
47,4,512,463
47,5,512,467
47,6,512,463
47,7,512,456
47,8,512,469
47,9,512,460
47,10,512,463
47,11,512,442
47,12,512,420
47,13,512,431
47,14,512,451
47,15,476,417
48,0,512,451
48,1,512,448
48,2,512,444
48,3,512,457
48,4,512,460
48,5,512,455
48,6,512,442
48,7,512,456
48,8,512,443
48,9,512,430
48,10,512,441
48,11,512,445
48,12,512,459
48,13,512,450
48,14,512,444
48,15,476,421
49,0,512,469
49,1,512,461
49,2,512,456
49,3,512,448
49,4,512,445
49,5,512,456
49,6,512,446
49,7,512,441
49,8,512,448
49,9,512,451
49,10,512,456
49,11,512,452
49,12,512,457
49,13,512,444
49,14,512,465
49,15,476,439
50,0,512,447
50,1,512,457
50,2,512,446
50,3,512,438
50,4,512,404
50,5,512,437
50,6,512,443
50,7,512,472
50,8,512,464
50,9,512,461
50,10,512,463
50,11,512,463
50,12,512,479
50,13,512,472
50,14,512,466
50,15,476,426
51,0,512,448
51,1,512,453
51,2,512,451
51,3,512,466
51,4,512,468
51,5,512,464
51,6,512,460
51,7,512,450
51,8,512,463
51,9,512,447
51,10,512,445
51,11,512,436
51,12,512,429
51,13,512,443
51,14,512,452
51,15,476,421
52,0,512,446
52,1,512,466
52,2,512,455
