Epoch,Batch,Num trials,Number correct
0,0,512,19
0,1,512,28
0,2,512,33
0,3,512,40
0,4,512,67
0,5,512,55
0,6,512,67
0,7,512,71
0,8,512,65
0,9,512,79
0,10,512,94
0,11,512,88
0,12,512,90
0,13,512,104
0,14,512,118
0,15,476,107
1,0,512,127
1,1,512,134
1,2,512,127
1,3,512,126
1,4,512,158
1,5,512,202
1,6,512,159
1,7,512,117
1,8,512,154
1,9,512,151
1,10,512,167
1,11,512,166
1,12,512,182
1,13,512,184
1,14,512,182
1,15,476,158
2,0,512,202
2,1,512,210
2,2,512,167
2,3,512,157
2,4,512,160
2,5,512,192
2,6,512,185
2,7,512,185
2,8,512,208
2,9,512,208
2,10,512,207
2,11,512,213
2,12,512,230
2,13,512,199
2,14,512,236
2,15,476,197
3,0,512,220
3,1,512,214
3,2,512,203
3,3,512,249
3,4,512,274
3,5,512,215
3,6,512,200
3,7,512,206
3,8,512,248
3,9,512,247
3,10,512,223
3,11,512,241
3,12,512,277
3,13,512,212
3,14,512,260
3,15,476,253
4,0,512,251
4,1,512,245
4,2,512,247
4,3,512,244
4,4,512,230
4,5,512,250
4,6,512,271
4,7,512,268
4,8,512,259
4,9,512,288
4,10,512,285
4,11,512,253
4,12,512,251
4,13,512,271
4,14,512,316
4,15,476,262
5,0,512,271
5,1,512,291
5,2,512,299
5,3,512,311
5,4,512,274
5,5,512,272
5,6,512,289
5,7,512,256
5,8,512,266
5,9,512,282
5,10,512,269
5,11,512,298
5,12,512,290
5,13,512,297
5,14,512,272
5,15,476,235
6,0,512,282
6,1,512,282
6,2,512,328
6,3,512,305
6,4,512,279
6,5,512,277
6,6,512,304
6,7,512,272
6,8,512,281
6,9,512,282
6,10,512,297
6,11,512,322
6,12,512,305
6,13,512,250
6,14,512,289
6,15,476,278
7,0,512,306
7,1,512,285
7,2,512,252
7,3,512,304
7,4,512,326
7,5,512,318
7,6,512,312
7,7,512,278
7,8,512,279
7,9,512,294
7,10,512,345
7,11,512,343
7,12,512,283
7,13,512,283
7,14,512,238
7,15,476,287
8,0,512,277
8,1,512,299
8,2,512,308
8,3,512,317
8,4,512,331
8,5,512,306
8,6,512,292
8,7,512,318
8,8,512,272
8,9,512,280
8,10,512,282
8,11,512,324
8,12,512,322
8,13,512,322
8,14,512,364
8,15,476,321
9,0,512,308
9,1,512,323
9,2,512,332
9,3,512,336
9,4,512,335
9,5,512,334
9,6,512,317
9,7,512,340
9,8,512,349
9,9,512,330
9,10,512,330
9,11,512,335
9,12,512,360
9,13,512,344
9,14,512,342
9,15,476,307
10,0,512,336
10,1,512,320
10,2,512,343
10,3,512,370
10,4,512,370
10,5,512,353
10,6,512,367
10,7,512,343
10,8,512,335
10,9,512,348
10,10,512,358
10,11,512,352
10,12,512,340
10,13,512,346
10,14,512,343
10,15,476,331
11,0,512,359
11,1,512,366
11,2,512,360
11,3,512,366
11,4,512,346
11,5,512,352
11,6,512,356
11,7,512,346
11,8,512,331
11,9,512,344
11,10,512,345
11,11,512,335
11,12,512,317
11,13,512,320
11,14,512,308
11,15,476,323
12,0,512,348
12,1,512,358
12,2,512,339
12,3,512,344
12,4,512,369
12,5,512,380
12,6,512,331
12,7,512,326
12,8,512,340
12,9,512,345
12,10,512,346
12,11,512,328
12,12,512,332
12,13,512,376
12,14,512,346
12,15,476,312
13,0,512,384
13,1,512,375
13,2,512,385
13,3,512,342
13,4,512,321
13,5,512,337
13,6,512,360
13,7,512,367
13,8,512,348
13,9,512,386
13,10,512,357
13,11,512,364
13,12,512,346
13,13,512,383
13,14,512,372
13,15,476,310
14,0,512,375
14,1,512,367
14,2,512,356
14,3,512,368
14,4,512,397
14,5,512,379
14,6,512,363
14,7,512,366
14,8,512,368
14,9,512,388
14,10,512,385
14,11,512,362
14,12,512,360
14,13,512,368
14,14,512,364
14,15,476,354
15,0,512,390
15,1,512,360
15,2,512,348
15,3,512,340
15,4,512,362
15,5,512,366
15,6,512,403
15,7,512,385
15,8,512,395
15,9,512,375
15,10,512,386
15,11,512,373
15,12,512,388
15,13,512,371
15,14,512,333
15,15,476,324
16,0,512,367
16,1,512,397
16,2,512,378
16,3,512,387
16,4,512,387
16,5,512,398
16,6,512,402
16,7,512,386
16,8,512,383
16,9,512,383
16,10,512,391
16,11,512,404
16,12,512,399
16,13,512,412
16,14,512,394
16,15,476,370
17,0,512,375
17,1,512,382
17,2,512,391
17,3,512,393
17,4,512,383
17,5,512,380
17,6,512,391
17,7,512,406
17,8,512,388
17,9,512,388
17,10,512,392
17,11,512,401
17,12,512,395
17,13,512,398
17,14,512,371
17,15,476,369
18,0,512,403
18,1,512,397
18,2,512,402
18,3,512,392
18,4,512,377
18,5,512,367
18,6,512,373
18,7,512,399
18,8,512,368
18,9,512,381
18,10,512,407
18,11,512,388
18,12,512,382
18,13,512,393
18,14,512,403
18,15,476,355
19,0,512,392
19,1,512,386
19,2,512,408
19,3,512,433
19,4,512,428
19,5,512,407
19,6,512,407
19,7,512,418
19,8,512,392
19,9,512,411
19,10,512,402
19,11,512,393
19,12,512,376
19,13,512,397
19,14,512,413
19,15,476,392
20,0,512,405
20,1,512,423
20,2,512,410
20,3,512,434
