Epoch,Batch,Num trials,Number correct
0,0,512,13
0,1,512,23
0,2,512,44
0,3,512,53
0,4,512,73
0,5,512,84
0,6,512,89
0,7,512,58
0,8,512,75
0,9,512,82
0,10,512,105
0,11,512,95
0,12,512,117
0,13,512,125
0,14,512,156
0,15,476,130
1,0,512,153
1,1,512,179
1,2,512,171
1,3,512,149
1,4,512,184
1,5,512,201
1,6,512,179
1,7,512,205
1,8,512,191
1,9,512,171
1,10,512,166
1,11,512,215
1,12,512,216
1,13,512,215
1,14,512,222
1,15,476,196
2,0,512,241
2,1,512,225
2,2,512,192
2,3,512,175
2,4,512,191
2,5,512,240
2,6,512,229
2,7,512,211
2,8,512,245
2,9,512,264
2,10,512,259
2,11,512,237
2,12,512,259
2,13,512,257
2,14,512,262
2,15,476,241
3,0,512,265
3,1,512,256
3,2,512,235
3,3,512,286
3,4,512,292
3,5,512,289
3,6,512,258
3,7,512,238
3,8,512,311
3,9,512,294
3,10,512,303
3,11,512,297
3,12,512,308
3,13,512,271
3,14,512,311
3,15,476,276
4,0,512,286
4,1,512,309
4,2,512,300
4,3,512,285
4,4,512,279
4,5,512,279
4,6,512,311
4,7,512,298
4,8,512,301
4,9,512,335
4,10,512,312
4,11,512,296
4,12,512,304
4,13,512,325
4,14,512,334
4,15,476,306
5,0,512,302
5,1,512,326
5,2,512,344
5,3,512,345
5,4,512,312
5,5,512,343
5,6,512,313
5,7,512,295
5,8,512,328
5,9,512,316
5,10,512,305
5,11,512,316
5,12,512,333
5,13,512,343
5,14,512,322
5,15,476,284
6,0,512,362
6,1,512,362
6,2,512,355
6,3,512,339
6,4,512,316
6,5,512,329
6,6,512,332
6,7,512,319
6,8,512,333
6,9,512,348
6,10,512,333
6,11,512,362
6,12,512,354
6,13,512,328
6,14,512,333
6,15,476,304
7,0,512,310
7,1,512,322
7,2,512,336
7,3,512,360
7,4,512,354
7,5,512,359
7,6,512,357
7,7,512,363
7,8,512,343
7,9,512,321
7,10,512,356
7,11,512,374
7,12,512,333
7,13,512,344
7,14,512,336
7,15,476,359
8,0,512,346
8,1,512,345
8,2,512,364
8,3,512,361
8,4,512,361
8,5,512,343
8,6,512,381
8,7,512,394
8,8,512,375
8,9,512,372
8,10,512,344
8,11,512,375
8,12,512,376
8,13,512,357
8,14,512,389
8,15,476,348
9,0,512,391
9,1,512,400
9,2,512,394
9,3,512,385
9,4,512,372
9,5,512,378
9,6,512,383
9,7,512,410
9,8,512,381
9,9,512,379
9,10,512,387
9,11,512,391
9,12,512,380
9,13,512,389
9,14,512,387
9,15,476,339
10,0,512,375
10,1,512,372
10,2,512,402
10,3,512,429
10,4,512,402
10,5,512,378
10,6,512,416
10,7,512,384
10,8,512,370
10,9,512,361
10,10,512,393
10,11,512,398
10,12,512,403
10,13,512,397
