Epoch,Batch,Num trials,Number correct
0,0,512,20
0,1,512,22
0,2,512,27
0,3,512,38
0,4,512,46
0,5,512,40
0,6,512,54
0,7,512,57
0,8,512,69
0,9,512,58
0,10,512,68
0,11,512,65
0,12,512,91
0,13,512,86
0,14,512,105
0,15,476,92
1,0,512,97
1,1,512,110
1,2,512,125
1,3,512,107
1,4,512,119
1,5,512,114
1,6,512,117
1,7,512,123
1,8,512,125
1,9,512,140
1,10,512,163
1,11,512,173
1,12,512,198
1,13,512,170
1,14,512,163
1,15,476,162
2,0,512,172
2,1,512,195
2,2,512,196
2,3,512,190
2,4,512,183
2,5,512,190
2,6,512,162
2,7,512,203
2,8,512,216
2,9,512,252
2,10,512,226
2,11,512,244
2,12,512,228
2,13,512,209
2,14,512,214
2,15,476,202
3,0,512,227
3,1,512,260
3,2,512,221
3,3,512,262
3,4,512,268
3,5,512,243
3,6,512,229
3,7,512,244
3,8,512,273
3,9,512,275
3,10,512,273
3,11,512,271
3,12,512,264
3,13,512,248
3,14,512,267
3,15,476,240
4,0,512,272
4,1,512,266
4,2,512,274
4,3,512,318
4,4,512,298
4,5,512,287
4,6,512,307
4,7,512,289
4,8,512,283
4,9,512,299
4,10,512,284
4,11,512,265
4,12,512,259
4,13,512,278
4,14,512,296
4,15,476,277
5,0,512,300
5,1,512,337
5,2,512,312
5,3,512,323
5,4,512,288
5,5,512,265
5,6,512,278
5,7,512,263
5,8,512,277
5,9,512,290
5,10,512,262
5,11,512,268
5,12,512,287
5,13,512,277
5,14,512,320
5,15,476,291
6,0,512,312
6,1,512,271
6,2,512,296
6,3,512,308
6,4,512,319
6,5,512,345
6,6,512,327
6,7,512,299
6,8,512,282
6,9,512,279
6,10,512,297
6,11,512,312
6,12,512,320
6,13,512,282
6,14,512,297
6,15,476,290
7,0,512,301
7,1,512,305
7,2,512,317
7,3,512,357
7,4,512,352
7,5,512,328
7,6,512,321
7,7,512,328
7,8,512,324
7,9,512,317
7,10,512,355
7,11,512,372
7,12,512,334
7,13,512,320
7,14,512,318
7,15,476,313
8,0,512,356
8,1,512,322
8,2,512,363
8,3,512,349
8,4,512,370
8,5,512,344
8,6,512,331
8,7,512,342
8,8,512,346
8,9,512,361
8,10,512,352
8,11,512,359
8,12,512,350
8,13,512,338
8,14,512,340
8,15,476,309
9,0,512,373
9,1,512,363
9,2,512,354
9,3,512,356
9,4,512,344
9,5,512,353
9,6,512,363
9,7,512,368
9,8,512,353
9,9,512,358
9,10,512,350
9,11,512,340
9,12,512,346
9,13,512,341
9,14,512,361
9,15,476,358
10,0,512,382
10,1,512,373
10,2,512,373
10,3,512,359
10,4,512,359
10,5,512,365
10,6,512,368
10,7,512,345
10,8,512,355
10,9,512,360
10,10,512,365
10,11,512,368
10,12,512,384
10,13,512,367
10,14,512,366
10,15,476,357
11,0,512,377
11,1,512,358
11,2,512,367
11,3,512,373
11,4,512,365
11,5,512,364
11,6,512,354
11,7,512,376
11,8,512,366
11,9,512,367
11,10,512,356
11,11,512,347
11,12,512,342
11,13,512,341
11,14,512,348
11,15,476,344
12,0,512,360
12,1,512,408
12,2,512,383
12,3,512,377
12,4,512,379
12,5,512,351
12,6,512,374
12,7,512,359
12,8,512,351
12,9,512,362
12,10,512,362
12,11,512,371
12,12,512,369
12,13,512,371
12,14,512,370
12,15,476,358
13,0,512,376
13,1,512,377
13,2,512,383
13,3,512,369
13,4,512,368
13,5,512,390
13,6,512,392
13,7,512,383
13,8,512,371
13,9,512,396
13,10,512,403
13,11,512,395
13,12,512,393
13,13,512,383
13,14,512,376
13,15,476,332
14,0,512,386
14,1,512,402
14,2,512,395
14,3,512,383
14,4,512,397
14,5,512,392
14,6,512,368
14,7,512,383
14,8,512,385
14,9,512,392
14,10,512,403
14,11,512,400
14,12,512,423
14,13,512,403
14,14,512,396
14,15,476,390
15,0,512,377
15,1,512,384
15,2,512,379
15,3,512,357
15,4,512,410
15,5,512,381
15,6,512,407
15,7,512,395
15,8,512,414
15,9,512,408
15,10,512,413
15,11,512,388
15,12,512,380
15,13,512,398
15,14,512,404
15,15,476,385
16,0,512,396
16,1,512,389
16,2,512,391
16,3,512,390
16,4,512,408
16,5,512,416
16,6,512,407
16,7,512,407
16,8,512,414
16,9,512,399
16,10,512,403
16,11,512,397
