Epoch,Batch,Num trials,Number correct
0,0,512,32
0,1,512,31
0,2,512,24
0,3,512,40
0,4,512,40
0,5,512,45
0,6,512,48
0,7,512,76
0,8,512,66
0,9,512,66
0,10,512,78
0,11,512,75
0,12,512,79
0,13,512,81
0,14,512,82
0,15,476,103
1,0,512,101
1,1,512,106
1,2,512,105
1,3,512,128
1,4,512,120
1,5,512,139
1,6,512,132
1,7,512,145
1,8,512,130
1,9,512,164
1,10,512,153
1,11,512,152
1,12,512,133
1,13,512,163
1,14,512,160
1,15,476,140
2,0,512,189
2,1,512,181
2,2,512,195
2,3,512,190
2,4,512,186
2,5,512,219
2,6,512,196
2,7,512,226
2,8,512,223
2,9,512,232
2,10,512,214
2,11,512,175
2,12,512,236
2,13,512,261
2,14,512,264
2,15,476,224
3,0,512,231
3,1,512,227
3,2,512,213
3,3,512,240
3,4,512,253
3,5,512,246
3,6,512,242
3,7,512,278
3,8,512,237
3,9,512,262
3,10,512,270
3,11,512,267
3,12,512,264
3,13,512,281
3,14,512,282
3,15,476,276
4,0,512,275
4,1,512,281
4,2,512,288
4,3,512,286
4,4,512,282
4,5,512,296
4,6,512,312
4,7,512,291
4,8,512,298
4,9,512,308
4,10,512,315
4,11,512,282
4,12,512,294
4,13,512,289
4,14,512,312
4,15,476,291
5,0,512,316
5,1,512,304
5,2,512,310
5,3,512,305
5,4,512,321
5,5,512,323
5,6,512,307
5,7,512,296
5,8,512,301
5,9,512,297
5,10,512,301
5,11,512,344
5,12,512,320
5,13,512,319
5,14,512,331
5,15,476,295
6,0,512,347
6,1,512,360
6,2,512,375
6,3,512,327
6,4,512,282
6,5,512,326
6,6,512,324
6,7,512,347
6,8,512,342
6,9,512,349
6,10,512,344
6,11,512,340
6,12,512,375
6,13,512,372
6,14,512,358
6,15,476,337
7,0,512,346
7,1,512,365
7,2,512,374
7,3,512,382
7,4,512,349
7,5,512,362
7,6,512,379
7,7,512,378
7,8,512,348
7,9,512,370
7,10,512,359
7,11,512,364
7,12,512,380
7,13,512,385
7,14,512,350
7,15,476,343
8,0,512,353
8,1,512,367
8,2,512,390
8,3,512,375
8,4,512,375
8,5,512,375
8,6,512,402
8,7,512,395
8,8,512,364
8,9,512,377
8,10,512,369
8,11,512,367
8,12,512,369
8,13,512,365
8,14,512,368
8,15,476,329
9,0,512,385
9,1,512,377
9,2,512,381
9,3,512,381
9,4,512,368
9,5,512,366
9,6,512,373
9,7,512,382
9,8,512,383
9,9,512,374
9,10,512,400
9,11,512,378
9,12,512,389
9,13,512,389
9,14,512,391
9,15,476,367
10,0,512,387
10,1,512,383
10,2,512,386
10,3,512,381
10,4,512,362
10,5,512,351
10,6,512,397
10,7,512,390
10,8,512,397
10,9,512,395
10,10,512,395
10,11,512,375
10,12,512,391
10,13,512,406
10,14,512,379
10,15,476,326
11,0,512,375
11,1,512,382
11,2,512,395
11,3,512,396
11,4,512,411
11,5,512,394
11,6,512,354
11,7,512,394
11,8,512,384
11,9,512,385
11,10,512,388
11,11,512,350
11,12,512,365
11,13,512,385
11,14,512,412
11,15,476,359
12,0,512,387
12,1,512,386
12,2,512,386
12,3,512,397
12,4,512,396
12,5,512,396
12,6,512,382
12,7,512,381
12,8,512,395
12,9,512,388
12,10,512,404
12,11,512,369
12,12,512,403
12,13,512,396
12,14,512,370
12,15,476,344
13,0,512,412
13,1,512,396
13,2,512,399
