Epoch,Batch,Num trials,Number correct
0,0,512,22
0,1,512,21
0,2,512,22
0,3,512,47
0,4,512,58
0,5,512,70
0,6,512,72
0,7,512,68
0,8,512,73
0,9,512,74
0,10,512,101
0,11,512,108
0,12,512,110
0,13,512,115
0,14,512,111
0,15,476,115
1,0,512,151
1,1,512,125
1,2,512,125
1,3,512,138
1,4,512,146
1,5,512,159
1,6,512,172
1,7,512,158
1,8,512,167
1,9,512,197
1,10,512,168
1,11,512,181
1,12,512,184
1,13,512,183
1,14,512,179
1,15,476,178
2,0,512,233
2,1,512,222
2,2,512,222
2,3,512,222
2,4,512,244
2,5,512,261
2,6,512,245
2,7,512,239
2,8,512,224
2,9,512,237
2,10,512,259
2,11,512,258
2,12,512,253
2,13,512,226
2,14,512,247
2,15,476,217
3,0,512,272
3,1,512,250
3,2,512,266
3,3,512,258
3,4,512,242
3,5,512,244
3,6,512,279
3,7,512,272
3,8,512,265
3,9,512,274
3,10,512,268
3,11,512,260
3,12,512,280
3,13,512,287
3,14,512,305
3,15,476,253
4,0,512,273
4,1,512,305
4,2,512,306
4,3,512,294
4,4,512,291
4,5,512,278
4,6,512,259
4,7,512,248
4,8,512,281
4,9,512,285
4,10,512,306
4,11,512,287
4,12,512,297
4,13,512,295
4,14,512,298
4,15,476,250
5,0,512,295
5,1,512,286
5,2,512,291
5,3,512,319
5,4,512,302
5,5,512,330
5,6,512,310
5,7,512,310
5,8,512,299
5,9,512,342
5,10,512,342
5,11,512,301
5,12,512,304
5,13,512,309
5,14,512,302
5,15,476,317
6,0,512,324
6,1,512,349
6,2,512,331
6,3,512,340
6,4,512,329
6,5,512,318
6,6,512,325
6,7,512,331
6,8,512,307
6,9,512,296
6,10,512,318
6,11,512,353
6,12,512,361
6,13,512,323
6,14,512,346
6,15,476,289
7,0,512,347
7,1,512,320
7,2,512,319
7,3,512,334
7,4,512,350
7,5,512,329
7,6,512,322
7,7,512,360
7,8,512,356
7,9,512,336
7,10,512,345
7,11,512,337
7,12,512,336
7,13,512,352
7,14,512,357
7,15,476,329
8,0,512,339
8,1,512,365
8,2,512,349
8,3,512,362
8,4,512,344
8,5,512,353
8,6,512,350
8,7,512,352
8,8,512,335
8,9,512,307
8,10,512,322
8,11,512,324
8,12,512,347
8,13,512,327
8,14,512,342
8,15,476,310
9,0,512,342
9,1,512,378
9,2,512,355
9,3,512,347
9,4,512,336
9,5,512,321
9,6,512,351
9,7,512,349
9,8,512,363
9,9,512,404
9,10,512,369
9,11,512,382
9,12,512,372
9,13,512,390
9,14,512,390
9,15,476,323
10,0,512,366
10,1,512,365
10,2,512,323
10,3,512,373
10,4,512,386
10,5,512,394
10,6,512,385
10,7,512,382
10,8,512,387
10,9,512,382
10,10,512,372
10,11,512,385
10,12,512,391
10,13,512,379
10,14,512,367
10,15,476,359
11,0,512,384
11,1,512,409
11,2,512,393
11,3,512,397
11,4,512,390
11,5,512,373
11,6,512,401
11,7,512,395
11,8,512,394
11,9,512,390
11,10,512,398
11,11,512,394
11,12,512,376
11,13,512,379
11,14,512,408
11,15,476,347
12,0,512,394
12,1,512,377
12,2,512,379
12,3,512,401
12,4,512,388
12,5,512,402
12,6,512,409
12,7,512,395
12,8,512,399
12,9,512,420
12,10,512,395
12,11,512,404
12,12,512,389
12,13,512,398
12,14,512,400
12,15,476,364
13,0,512,409
13,1,512,402
13,2,512,385
13,3,512,391
13,4,512,394
13,5,512,379
13,6,512,392
13,7,512,394
13,8,512,371
13,9,512,397
13,10,512,383
13,11,512,383
13,12,512,382
13,13,512,404
13,14,512,408
13,15,476,370
14,0,512,414
14,1,512,409
14,2,512,402
14,3,512,389
14,4,512,386
14,5,512,374
14,6,512,376
14,7,512,416
14,8,512,419
14,9,512,411
14,10,512,400
14,11,512,415
14,12,512,429
14,13,512,387
14,14,512,364
14,15,476,364
15,0,512,404
15,1,512,407
15,2,512,399
15,3,512,389
15,4,512,395
15,5,512,403
15,6,512,411
15,7,512,391
15,8,512,411
15,9,512,385
15,10,512,405
15,11,512,394
15,12,512,419
15,13,512,406
15,14,512,411
15,15,476,371
16,0,512,411
16,1,512,409
16,2,512,393
16,3,512,409
16,4,512,407
16,5,512,414
16,6,512,381
16,7,512,404
16,8,512,435
16,9,512,390
16,10,512,389
16,11,512,414
16,12,512,424
16,13,512,414
16,14,512,423
16,15,476,386
17,0,512,422
17,1,512,426
17,2,512,435
17,3,512,421
17,4,512,430
17,5,512,428
17,6,512,426
17,7,512,430
17,8,512,429
17,9,512,423
17,10,512,407
17,11,512,425
17,12,512,437
17,13,512,430
17,14,512,461
17,15,476,392
18,0,512,429
18,1,512,438
18,2,512,417
18,3,512,433
18,4,512,398
18,5,512,399
18,6,512,442
18,7,512,435
18,8,512,415
18,9,512,440
18,10,512,436
18,11,512,411
18,12,512,406
18,13,512,422
18,14,512,413
18,15,476,377
19,0,512,428
19,1,512,439
19,2,512,430
19,3,512,418
19,4,512,415
19,5,512,405
19,6,512,380
19,7,512,414
19,8,512,425
19,9,512,435
19,10,512,445
19,11,512,431
19,12,512,438
19,13,512,419
19,14,512,436
19,15,476,397
20,0,512,434
20,1,512,446
20,2,512,434
20,3,512,405
20,4,512,448
20,5,512,432
20,6,512,447
20,7,512,431
20,8,512,413
20,9,512,444
20,10,512,427
20,11,512,446
20,12,512,431
20,13,512,413
20,14,512,417
20,15,476,388
21,0,512,425
21,1,512,438
21,2,512,451
21,3,512,427
21,4,512,423
21,5,512,428
21,6,512,436
21,7,512,434
21,8,512,430
21,9,512,445
21,10,512,445
21,11,512,443
21,12,512,446
21,13,512,441
21,14,512,430
21,15,476,417
22,0,512,444
22,1,512,427
22,2,512,421
22,3,512,440
22,4,512,446
22,5,512,443
22,6,512,425
22,7,512,443
22,8,512,431
22,9,512,449
22,10,512,451
22,11,512,434
22,12,512,436
22,13,512,441
22,14,512,413
22,15,476,407
23,0,512,456
23,1,512,437
23,2,512,435
23,3,512,465
23,4,512,470
23,5,512,444
23,6,512,448
23,7,512,440
23,8,512,452
23,9,512,462
23,10,512,454
23,11,512,455
23,12,512,460
23,13,512,461
23,14,512,462
23,15,476,425
24,0,512,446
24,1,512,443
24,2,512,455
24,3,512,451
24,4,512,443
24,5,512,437
24,6,512,446
24,7,512,451
24,8,512,446
24,9,512,437
24,10,512,453
24,11,512,452
24,12,512,448
24,13,512,457
24,14,512,432
24,15,476,420
25,0,512,447
25,1,512,460
25,2,512,449
25,3,512,454
25,4,512,438
25,5,512,459
25,6,512,450
25,7,512,455
25,8,512,457
25,9,512,438
25,10,512,443
25,11,512,458
25,12,512,456
25,13,512,437
25,14,512,447
25,15,476,404
26,0,512,439
26,1,512,448
26,2,512,450
26,3,512,464
26,4,512,462
26,5,512,451
26,6,512,453
26,7,512,449
26,8,512,444
26,9,512,471
26,10,512,457
26,11,512,466
26,12,512,451
26,13,512,444
26,14,512,464
26,15,476,437
27,0,512,451
27,1,512,448
27,2,512,446
27,3,512,440
27,4,512,461
27,5,512,461
27,6,512,454
27,7,512,447
27,8,512,429
27,9,512,459
27,10,512,481
27,11,512,461
27,12,512,444
27,13,512,448
27,14,512,469
27,15,476,429
28,0,512,455
28,1,512,447
28,2,512,467
28,3,512,466
28,4,512,458
28,5,512,439
28,6,512,449
28,7,512,465
28,8,512,456
28,9,512,448
28,10,512,438
28,11,512,456
28,12,512,468
28,13,512,464
28,14,512,460
28,15,476,423
29,0,512,462
29,1,512,441
29,2,512,469
29,3,512,470
29,4,512,471
29,5,512,471
29,6,512,471
29,7,512,468
29,8,512,462
29,9,512,460
29,10,512,464
29,11,512,471
29,12,512,469
29,13,512,457
29,14,512,465
29,15,476,420
30,0,512,462
30,1,512,473
30,2,512,471
30,3,512,447
30,4,512,467
30,5,512,466
30,6,512,466
30,7,512,462
30,8,512,469
30,9,512,465
30,10,512,468
30,11,512,471
30,12,512,448
30,13,512,447
30,14,512,445
30,15,476,443
31,0,512,464
31,1,512,476
31,2,512,483
31,3,512,482
31,4,512,468
31,5,512,467
31,6,512,463
31,7,512,450
31,8,512,478
31,9,512,470
31,10,512,475
31,11,512,483
31,12,512,478
31,13,512,472
31,14,512,474
31,15,476,429
32,0,512,457
32,1,512,468
32,2,512,463
32,3,512,472
32,4,512,479
32,5,512,475
32,6,512,465
32,7,512,462
