Epoch,Batch,Num trials,Number correct
0,0,512,51
0,1,512,57
0,2,512,55
0,3,512,51
0,4,512,61
0,5,512,68
0,6,512,92
0,7,512,118
0,8,512,108
0,9,512,130
0,10,512,126
0,11,512,100
0,12,512,85
0,13,512,104
0,14,512,113
0,15,512,134
0,16,512,148
0,17,512,153
0,18,512,167
0,19,512,158
0,20,512,162
0,21,512,170
0,22,512,166
0,23,512,135
0,24,512,148
0,25,512,156
0,26,512,169
0,27,512,151
0,28,512,188
0,29,512,189
0,30,512,180
0,31,512,190
0,32,512,199
0,33,512,135
0,34,512,184
0,35,512,219
0,36,512,213
0,37,512,234
0,38,512,194
0,39,512,155
0,40,512,215
0,41,512,210
0,42,512,208
0,43,512,248
0,44,512,228
0,45,512,251
0,46,512,229
0,47,512,231
0,48,512,208
0,49,512,203
0,50,512,215
0,51,512,188
0,52,512,236
0,53,512,248
0,54,512,239
0,55,512,267
0,56,512,184
0,57,512,186
0,58,512,212
0,59,512,236
0,60,512,220
0,61,512,214
0,62,512,212
0,63,512,206
0,64,512,218
0,65,512,230
0,66,512,247
0,67,512,240
0,68,512,224
0,69,512,210
0,70,512,238
0,71,512,266
0,72,512,252
0,73,512,232
0,74,512,231
0,75,512,212
0,76,512,253
0,77,512,235
0,78,512,266
0,79,512,257
0,80,512,248
0,81,512,250
0,82,512,215
0,83,512,281
0,84,512,247
0,85,512,268
0,86,512,301
0,87,512,248
0,88,512,252
0,89,512,280
0,90,512,261
0,91,512,261
0,92,512,270
0,93,512,255
0,94,512,288
0,95,512,267
0,96,512,266
0,97,512,261
0,98,512,277
0,99,512,319
0,100,512,264
0,101,512,292
0,102,512,304
0,103,512,272
0,104,512,245
0,105,512,265
0,106,512,274
0,107,512,288
0,108,512,276
0,109,512,265
0,110,512,265
0,111,512,270
0,112,512,305
0,113,512,307
0,114,512,299
0,115,512,291
0,116,512,279
0,117,96,62
1,0,512,131
1,1,512,255
1,2,512,219
1,3,512,254
1,4,512,262
1,5,512,259
1,6,512,298
1,7,512,305
1,8,512,269
1,9,512,282
1,10,512,277
1,11,512,262
1,12,512,272
1,13,512,266
1,14,512,281
1,15,512,303
1,16,512,284
1,17,512,278
1,18,512,274
1,19,512,311
1,20,512,312
1,21,512,289
1,22,512,282
1,23,512,295
1,24,512,296
1,25,512,297
1,26,512,310
1,27,512,326
1,28,512,305
1,29,512,321
1,30,512,294
1,31,512,337
1,32,512,334
1,33,512,293
1,34,512,331
1,35,512,325
1,36,512,313
1,37,512,297
1,38,512,322
1,39,512,332
1,40,512,323
1,41,512,298
1,42,512,309
1,43,512,311
1,44,512,287
1,45,512,314
1,46,512,325
1,47,512,312
1,48,512,307
1,49,512,307
1,50,512,311
1,51,512,315
1,52,512,338
1,53,512,334
1,54,512,310
1,55,512,321
1,56,512,333
1,57,512,299
1,58,512,308
1,59,512,300
1,60,512,318
1,61,512,344
1,62,512,300
1,63,512,302
1,64,512,327
1,65,512,339
1,66,512,311
1,67,512,292
1,68,512,314
1,69,512,318
1,70,512,353
1,71,512,337
1,72,512,328
1,73,512,340
1,74,512,336
1,75,512,367
1,76,512,359
1,77,512,323
1,78,512,340
1,79,512,368
1,80,512,359
1,81,512,339
1,82,512,321
1,83,512,365
1,84,512,358
1,85,512,339
1,86,512,323
1,87,512,310
1,88,512,322
1,89,512,345
1,90,512,334
1,91,512,349
1,92,512,310
1,93,512,349
1,94,512,334
1,95,512,331
1,96,512,326
1,97,512,345
1,98,512,340
1,99,512,333
1,100,512,334
1,101,512,349
1,102,512,338
1,103,512,351
1,104,512,342
1,105,512,331
1,106,512,342
1,107,512,353
1,108,512,351
1,109,512,394
1,110,512,371
1,111,512,348
1,112,512,335
1,113,512,373
1,114,512,327
1,115,512,339
1,116,512,316
1,117,96,69
2,0,512,143
2,1,512,258
