Algorithm,Num hidden neurons,Timesteps,Batch time [ms],Forward time [ms],Backward time [ms],Optimiser time [ms]
BPTT (PyTorch),256,343,926,107,700,110
BPTT (PyTorch),512,343,1660,110,1300,236
BPTT (PyTorch),1024,343,3240,210,2600,410
BPTT (PyTorch),256,685,3400,280,2900,210
BPTT (PyTorch),512,685,6300,300,5560,440
BPTT (PyTorch),256,1370,12800,450,11900,400
eProp (GeNN),256,343,1836,,,
eProp (GeNN),512,343,4580,,,
eProp (GeNN),1024,343,12875,,,
eProp (GeNN),256,685,3654,,,
eProp (GeNN),512,685,9130,,,
eProp (GeNN),1024,685,25660,,,
eProp (GeNN),256,1370,7286,,,
eProp (GeNN),512,1370,18245,,,
eProp (GeNN),1024,1370,51278,,,
